n,best_digits_correct,log10_abs_q,empirical_delta,minus_log10_abs_linear_form,q_bitlen,c1_bitlen,c2_bitlen,indexK_bitlen,indexL_bitlen,T_exp,theory_delta,c1,c2,q_n,p_n
25,260.9107247325771,287.6599536843316,0.907010939099614,-26.749228951754507,956,683,1007,1674,1693,985,0.9025266028569715,-34431265665449772708465780099302345375611521103443545817554170820546521128738137031298272693036779496335822357844983026423413278026662607189099436678377662249428982887884825752120387440231575807651971465216,-781767354876972167318702331545893112088402062941059790255774579897492250338881889035891550358612763947626438082684706052762191320613129724876968610859881138228600339082095822757772906575587202431764544357561566441356351347138557029409407480709932196116974936019671674216701069430786706149250866541222914,-457039445693219569875082691650984992557403662623273124500190164220942514858293587660195740203580046980123979511127251096617170600681666016238468818114097345135100589025880276552261628669511910453122267719287147513894515372534614242864728670396390372358592752795180584774755542330176258048,-418632407436816685499908948006797408700994827696039604716578518075519440735451070801253953918502514453269009149572120927749702425551433503191506751179224800467498609062567434907310198678598500884766015880641311768910422404566791818486884345594732853027213265590473324250455454709406236672
26,271.39492850693625,301.1864981440601,0.9010859722441,-29.791569637123878,1001,710,1051,1744,1765,1023,0.9025266028569715,2863373058284579810768227181776144618541544455293354123419012539047104978472633202720073110261463738847322960202956961723294799565111542387257307714435617274397006843374264681952017903151311157785073462498877897728,21353175651003251576726450288049590922654016741586494114139678381057613379159087049869144645925217289017498120495562614617688094815986688839581536070321442759088205540877839973012681972539141975775399843486857457801482514870569836342483961397259132329188922343045041078826060048738804194402597641643471184193801081506,15363782276674624762099133418626575187975639930448044510284441286678617488802291502323898707077261765055348880751593263918233919259585532234629843580782473537818055072279156766908663781214938832924941832271042544879117676576788275246531445772435795665116373645141264501680314700075118808233570500730758,14072695961863699377528892419473660585849285899552555737356557673863303861572193564750183118296245453497038927777800023047230043684750334587601012176529870564308900877176308709484895765217458978281736434761625117187501169504419955252914083856316804004216901896968039426127898513054225566293831957261009
27,281.870267038366,313.5887203680962,0.8988533347357058,-31.7184533297302,1042,740,1095,1814,1837,1063,0.9025266028569715,3463427777811146862340654288791623399981085168164016754175865106387463493012818209666845402441082095971709549283977052798821543663872573895820995072176030367340142450433707022219865460872677578762825353327660030214007734272,349923503796622819420235771278372184353154217387687726187290928917275054264635597559751896403388197077414070659402811300871977696077539010917931110558743758556416091028498891882379494991827233130062210807844601938697059226171302410555969999866414138214569977336118520140457493599482541672464764334099530304743668383175811923877272,38790052562908136706414224160188216496822759263944659339993412271226934989943985674381914016007497618071694691222971063226937730981014829402289724361347061778872513601636616468277881270224181916907370489385582993412962594516261990991485506402796955863780333464075123381222430454642647654521094871673559443710243372,35530353543949708714838787179878742852082835697518592453360965130119466722807079097723531990315274947622756223143539880888542192403600267913483290414917564880909945767055926715919468761058938364333790509442950898349918264803433267473549305888293954728478125866547666426363185214550087035853130022110312029331473362
28,292.4526492265336,324.84153765402436,0.9002932671067858,-32.38888842749077,1080,770,1135,1889,1910,1103,0.9025266028569715,4141430634856315370524408798736802197349520440198827266904746460932626600305473340153298340250631371802769268388573781379408692793762859692851514102871639932507788596721185482264961513214844691177842396182184559035788318968416632832,-405960190544609544386911647677018136424943609784569668594536858036172224238874053023089994532357156205197424883547562611981156266151618012520375434910739497033008790631236725984231132324970176588342269424119650216730505471777576204272688387280709760300946580877011373943403688719436920295777355593655760677862101215602661989257099314704922656,-6942847947038783045469774351949731662126474851909757860577026429265175494379102529810854166408364135913007315056887545667317596448199636024759382909847094468792923649232339826968610331265675164740730196972315625031161225948753591275666020062828854148163303104144330468754005135800008542057929431050675382338821199183816842266,-6359409845091464128128940072995859200871234335201769110492395187222343989938757997355845919806901530836829603101547751975395695954250151662155577966200040237002974267628237660836752938303680344243509547596722318047060511939378780907362510488982053058718067718522465085554712288601943898180148879341396443963612166011558159903
29,302.8449768347932,338.44551615098015,0.8948116089081068,-35.600539316186946,1125,804,1183,1968,1991,1143,0.9025266028569715,-66222598233796683936365472319778603045592545475499020411673712334237148008782155908992874628534704768863680038781816880576647714528965397837873120669881001789280286424192313341619401623701972307155765391458022328837306269810203392796420177920,-105584797086511462090632685714994227179628016998979372018546021641626286400539812246949792539161983944855369050166292398156588879772813663149997503006583994625259751351319949560163029968506540385472752107021268994959300163526221708525337776294543602187983687626869860136990006143691027131434220905298483964748600373755491367247056375443303569759956126795200,-278943439070377047690946008612628046351701441783705846584580354995024309553845772424946760832841011852418723877637372881221381142038219300989061354754286294002975771747535755512233971625256390901853082086893603034309149564839029786307432320113729972672844078045713917925928043397362677915800973288420828671284922349904728771537851601159800,-255502592909934801820199717511762350944895060816475551015705502880211868550872872247144282894954373732936554730611258517592983133576280161688775345140956728865555369543271198008706274981888717142280597188988657982206750643677881865541477067261874855486042750630330482190784815969467155286431219650457866682976377672593931475451641082589268
30,313.19912168794565,348.90210687506294,0.8976704798177042,-35.70298518711726,1160,825,1221,2024,2047,1183,0.9025266028569715,-114383948899469283049879552328494767220808661627972698725993669085983750297308916267486365864277987171144183482491491583702433684492351345527432615451787242142656050445851405158425340821502461162890623285304996211667310869548734614809050174324047872,-19535092742185371112031664759677887153883715618757372103265651169067073721027475946654613487420993944331743855446659499216600139112173843403944217018864025519915991929520399583540864516932311586695222338087555901069308162607781221004031016757965170993096256417664856301057937927228934295595719146308942030198354790395785915336101835332777920984676052335408370418968528,-7981910890892425366719596111529126118064503212569486750808345725361289524621469899589581974788225497261854880529889123244555779536510867827964594890988298439247390911162944188760915920812642365204932582479685726606757314577258051915992099761523107276212722432009765186112932766942172667597872264237199765672936389278227996063608386019322820242637304,-7311155751845895977465551168707730766405749743267218878328612806425680597572294458337234516689700945061005922922576627801747621032027762462914911596031214852987598383527223779024019210664793280991703369896868831761188082344999223311162478312411847190603170663882258875038741780317454312352451835115345802980588803233178264802966466649227741256434580
31,325.34481735581875,358.53308219866005,0.9074331868085412,-33.1882648428413,1192,852,1255,2076,2103,1223,0.9025266028569715,17203865888619172130446273989387457085853852067436529379041248345823846118191338951370845330967485651943349367233393549684232756741827280475296068915034387437697530650904917925550690421523670154324528780322582871672310903801850441676836792046703225694228480,539426048634693775465005883814904146212058386566338668945963909690475769962537585128325618802208353371055909305176678352669949118419661315440892877353090183525815518038744500178524577390637678429563329316509573265457511546265985382353950802923781961010960337170628730073779618825568275581573966910555732722350839779343661543041389569363497808474903189323599748866920806336887090,34125749511441626526831549569826472756643486916786120747249194217143997073656605373927044973658220928730639511797020895428961912802972792246076320936562690365623045755217496719382529637357951026602215948359400566485320605464395959674445608136482613169154753293086677890565462218208581340128718575963362048047455598148871242235462110605782667181783103541977610,31258012427990570954393219395776310508119571452747474078709701956795339852350994550095465056990871347381682470425378653117990308658228729724912360394436414251050546769615609773939218059451118843789714103712599210826620903092428770224000233147275915716853685140571694043375352965376513798027268822705501893987719162454005608384610275069050940796174370877155399
32,333.9880871687813,372.7983759299018,0.8958946946474411,-38.81028876112049,1239,887,1305,2176,2193,1263,0.9025266028569715,-593361947749962052108020707239739862930021348422100720244590187596368504430959505454204362865096931814929433648063255503961530100313411530327557086091434875997975190008430300757006972688935537535912593569237012622936097065569496084163137363960453036882261501226172416,-641084267244776046003899715850471512743597853266959762037932920332102523520544482311976335436502499762654971316196146413102040151947455740239884164122069941361975097464251698866214471458518681249130011371991134211661532577474359991233812939763800503411462822274975164287721225089928646550453728681270271117566306912055615459803777207725019352746097146445286909831456527927274441217718007862794,-6286022481426972908342041023638378010074219419103446129952234234514887928305147625160144667600080973586153539211500886226502553320462561129466857920709211664363295570652808370082195908806056247540193084699027475925581340512592228330592262411702473928352312878568918347630711406494297037981557854377705090620128556406460346284595254006289296573787259724063270460852624805726,-5757780317211613920381008017067256685322830831127069296333696584142246238702701070829624157095698710315560352660021748906243590910726042276808622502162384385402401555411102597100575925232648794960055685379282765908002891766485246775857391099392079895050983530115801105106753697166902703628688493155633353625682141337949182537664153362573719758424181318785335822614921108917
33,345.8023117462734,380.2713385855439,0.9093567583413429,-34.46902683927054,1264,902,1333,2214,2233,1303,0.9025266028569715,-32926651802288223808106968168597594612583266978480241708525435105175356066216044345115652389070571447642314340762501500911322876986561876740454189059255004636804753326044095022970758378873701607927170549786268464133915723006855989520052785185958655168887000698655094439936,-122784456654994462139800176697007300188194383570439555494811194662236299133993855466518399257447656257577409862940927062278037138388487512634045610440765871723392989100300126576531485821527109340650449737232474812491252809001323089482923350049304789904337071958298445066748192571290810306572648053852593930251916513975249175184252984161007706483035289845824678936251885946120926208234906363893336507915,-186783532890081164183982459394643827690714947778516285812175620234853668815519965381918819402381486971239172310234854309566478364770622182292617560752510212480562152276913725249646022333395691317929342990325038291712740738702908426884454736622398636373484210681521129763073313631470982397309532450903467282725059330927651103866101972046512327666430274512980088675095268522716037120,-171087289686183323987192343319021469810984434851538565709525025131029497027027655456591749961656873368223310542623013257543865481259863496768582265048110005382734007559670684955827021674132600298898005489426110960586558549528796937466048472010826377635837890802538864660183615457213373329450203380194059671071456202497829173869345129386702417942525060860357381211833801054821023744
34,354.9250298729958,392.3992523242142,0.9044997608194832,-37.47422245121844,1304,930,1376,2288,2307,1343,0.9025266028569715,-5759386596275661246353719330794507527136793100179832028033435050224332657562874697034022167222265759684677494875273070210576928282641440122048111487541197727524085927654566700619434267823974160968759849782993396853008391141648027880678192302738455572992260508616500595709338320896,-1061510248393948801527597831304545042712839943100504187279052161676819617814911825442804383859703961350950226941635821782619121315739308939453915201067082933975929657041794678110472295640185533945502063401967581893741460785134043787531243492976548222557796898388314414461864009127384614429240246139608328014109758441372348891259077130819868252794736957703556841587735804882550298231268340864263061007659480349697340,-250756572049286453127056087010814914298231905713396429488799235111030401797776542808956638923620261989519509420755181013362880836900369975795177875286594583355641099434597033564287377395404645112876529789253325940768965395948275229800848040399154504484043112474552368990981270529127665056527533658899041963909585739139567409656287152784019176070886308297264758680055639835323581594239348244480,-229684392510967296031720353112483981973331414034544529463705861141128660637734248442373215724683884934811661981684048889531981456090928847946579861194762640016334009497592571353945535185870224876084170319396937507538145137170539733763469351692319057646507770097297578859389269513440760472319374118081655064328627828757747604276180478462772130193058498358435271677591911863501652269314954756096
