tag,n,logidx,halflogcov,logl1,logl2,skew,incone,logcone,rho,rho2,gcdflag,cflen,cfmax,cfidx,cfkind,cfpq
S,90,11.581831,7.520335,7.501764,7.538906,28.297472,1,7.503717,1.192205,1.000000,1,691,2254,378,0,0
S,91,11.638050,7.548509,7.535354,7.561671,10.966264,1,7.536896,1.150617,1.000000,1,728,4885,402,0,0
S,92,11.648603,7.553850,7.546741,7.560960,3.699357,0,7.562407,4.226258,3.699357,1,741,799,419,0,0
S,93,11.619387,7.539307,7.538677,7.539941,1.124828,0,7.543563,1.575351,1.124828,1,684,2205,385,0,0
S,94,11.670033,7.564695,7.563716,7.565722,1.207446,0,7.569102,1.659095,1.207446,1,744,1340,395,0,0
S,95,11.660263,7.559874,7.554524,7.565273,2.776509,0,7.567695,3.494637,2.776509,1,728,2824,409,0,0
S,96,11.646061,7.552837,7.548401,7.557321,2.354373,0,7.557325,2.355251,2.354373,1,786,1134,433,0,0
S,97,11.642499,7.551120,7.535042,7.567199,22.629702,1,7.538026,1.335706,1.000000,1,759,988,416,0,0
S,98,11.703511,7.581690,7.555168,7.608213,180.984764,1,7.558443,1.378517,1.000000,1,805,2611,456,0,0
S,99,11.701719,7.580857,7.580799,7.580933,1.013390,1,7.584223,1.403525,1.000000,1,749,36581,424,0,0
S,100,11.753382,7.606752,7.600902,7.612616,3.226419,0,7.614987,4.089879,3.329504,1,778,1117,433,0,0
S,101,11.744450,7.602350,7.601894,7.603429,1.167744,0,7.607430,1.749192,1.249050,1,747,560,427,0,0
S,102,11.710559,7.585467,7.584458,7.586493,1.230681,1,7.586443,1.224388,1.000000,1,805,1234,460,0,0
S,103,11.890224,7.675361,7.665759,7.684967,7.231603,1,7.669110,1.412168,1.000000,1,837,10076,454,0,0
S,104,11.895166,7.677895,7.671129,7.684678,4.092034,0,7.685256,4.345791,4.092034,1,826,3129,477,0,0
S,105,11.796538,7.628643,7.626771,7.630720,1.513850,1,7.629104,1.277660,1.000000,1,866,1587,452,0,0
S,106,11.792308,7.626589,7.623416,7.629851,1.978148,1,7.626228,1.347275,1.000000,1,880,1872,484,0,0
S,107,11.805536,7.633264,7.632891,7.633638,1.083238,0,7.636110,1.411262,1.083238,1,847,1737,487,0,0
S,108,11.935827,7.698471,7.698542,7.698602,1.006445,0,7.701773,1.417548,1.006445,1,911,1179,517,0,0
S,109,11.921221,7.691228,7.687672,7.694811,2.177394,0,7.696811,2.707877,2.177394,1,895,1134,503,0,0
S,110,11.958781,7.710069,7.709647,7.711035,1.165065,1,7.712046,1.302003,1.000000,1,836,2664,456,0,0
S,111,11.963639,7.712557,7.711872,7.713514,1.199954,1,7.713264,1.167096,1.000000,1,867,1048,484,0,0
S,112,11.904855,7.683225,7.674851,7.691600,6.526328,0,7.693529,8.100613,6.526328,1,850,1281,469,0,0
S,113,11.951057,7.706385,7.706295,7.707386,1.131247,0,7.709327,1.408743,1.131247,1,875,3536,487,0,0
S,114,12.016585,7.739208,7.730885,7.747547,6.682114,1,7.732966,1.267703,1.000000,1,889,728,496,0,0
S,115,11.866605,7.664276,7.664186,7.664369,1.021259,1,7.664778,1.070494,1.000000,1,929,18564,508,0,0
S,116,11.922129,7.692097,7.692168,7.692265,1.011312,1,7.694492,1.309384,1.000000,1,930,3573,518,0,0
S,117,11.898975,7.680578,7.672036,7.689130,7.389103,0,7.690574,8.749823,7.389103,1,917,2400,487,0,0
S,118,11.810797,7.636546,7.630489,7.642603,4.176096,0,7.644108,4.988096,4.176096,1,921,1086,511,0,0
S,119,11.821864,7.642136,7.637728,7.646548,2.856337,0,7.648670,3.676711,2.856337,1,913,2839,523,0,0
S,120,11.852962,7.657742,7.656092,7.659393,1.486167,1,7.658875,1.396521,1.000000,1,988,920,566,0,0
