4 50933711349085494626651651895391936726971187200 46653527179516058600845192870070131251252822016 4088867766240839623814891272419112710329026560000 3745262193016868931308061746500004874112221634560
15 162954585489611327848714857313592619894560649351853224544815919107558205413077983940048725025994228727920953227158041070612908858761328278389743265105917228322615029537628487680000 149260793721894271881176951812143879667765146910164228688486598244371274883255526159909626034323727430409942573871496381837979396313539432987392575267581659838989174626969276383232 1595050337216188356456705493655261464354271600945025835141797805846428777548625171153279819281308803458672693487560739573016123151062059350732989785904965560242123013518666489785561907200000 1461011229870799524061716080270819488406987987324875611932582751989528740403883498799171009827738847527232234529503850260801494881805384304739556700942972287362046218570943096959593617555456
16 853621833733677870283370261335608460607461856316645313536289716466199436626618600485038835691053273617000760778022191671881924697368817272819274648633058991861489404822738396271083520000 781888230138515508862149106790008471810610734468917842482029096468707859652940178524580250454670234241522016822132354948820960260676160636911592999447791781923133296313958809411096936448 51506584595890105258289367851722790617135914707870911856263486031246841345342166604578241607471744419154027880151601853117694069158711588524566615906391490382724856998795848578885670871139123200000 47178259363413676412541802311405922969002476499241870438271061958167096366946781139015080366099064016065017237343550849919906808147795472256409786930125491052697377628606897297261354275896687460352
17 430867962315895927535832281063324296304291331790773407078818445042514402541329667736079672107080414385092432060649786702089241620142764237117131050884760562549214180259844862716134448125361719869440000 394660229114607224807746671943156302340959829023086056299231201516333107826885699692014795763770156692406968096902365187355751839320238101356498974945794173776974375382443562020000006823488230499811328 160262921038365005387559656655654389424786269902104569274729958475143296177218488500141926117171446846887257098522488345455501841688505244368222116180445490411158207595352677180006347634311614089414601113600000000 146795321693482735964822023386311401105648299692073104075268426813057538021032699966882237619532975012359592574044153688431146996953994609724281653096417412427202335611264001406856960438597844207095630804156416000
18 276171483001373433794749135055728938538344124291119087795882327159547697398681841762070059153358237623852245037863303804574999723866378105740223758562585817979621107707632826838790106768352899303327777906879365120000 252963576522156758305299642852544293088795456306304786406468692556877204400109992803155512239991427460865288530010702300487210389332392381202337903277767566985677001049687643797525009475883485938023663197912976850944 633229465996604736904200609792107692182052533994726166013160263202369438608306816683618784713018060893070328652844639067925298751288585343680067201413464161804544496518398040508359599526177797671287716348627493323719475200000000 580016404072103162089140672064057943484508185595899164921948505341448387066530842934135473788116444599521691740326458360209353382660360299707158001955281153958380054189258172600291476423755354182644388044413361696543374484439040
19 221778501943998644367301672030948293986866228080436411962585214995982381274324664596358528349643362718215520639273310652496790196636625472052648687368077226643097234702375926366772877632824847921929254460085832139067390857052160000 203141477308868240697891140857710149527713371348170807492581953238200225988782197923889273366136141778981676096354114480817106255137564421284298347272405530169705102682958130755175796472210904556690989573755083202177939662692155392 3134705117463446408538878030007256136677060766460121575353947727903412435127124272388078438258102404917070357822691402174558691186144793825513090811079801984196417977914882605393492528663192081835024675603218107544587082143467630201733120000000 2871282035487774816287977275565729929166808814975249026960966198629388466921246558650808047379395862167205706504208310581524388179045527686600715451367281884138981987921668574053690384471100432712160623263800938929616834056221314558517103820800
20 1177202437338585232925706871925604870280723978789415061795998418826399441408674834193248923238676083511379773462598459957399841606316107450541416479369095747028254939629162437545614259908469672099575128088401904516733736657142436331520000 1078276929983707658461446140151514338082713321842431622496503189568021899451360630729721553595595341335797594470152920882669588268449780255977885411876178308899969265705410463672625260499257777501859497651738011827975783304133425626087424 102571017846906652194890712845002664603099625425191186802400570764203694343484619809769225624539865743243963832142765385219278683638822128568090619014867793531304605079366382585215241935547663144381412406990480032124385951894801157728952439373824000000 93951523307503987496221431359715820284004452749831246361628806715458171418433100205405677269127048508270469531444590691501491445754868219861778857157451717986708498607176611813776817872764426214576289097011987995379977910715127664166811175883463720960
21 18949255046182341323106223586221943284044395394577568766557572220213703073848540407771293218407282509004693144541110384606803191957467512522430872857830187352991472628008398248972263818760625676801941014962815021502223068046006475528945532928000000 17356865657592074017632647982797046617380350062593216660306810220117867891594221177299004766405276740255328561775402835221822274231353606487131193439310855646186237936721686982482046318887680264451606588221107602922819749201251077624458306484436992 10178013781110283987870469809733699931051494435182818069053258347629607929041038749027298225520823038413680283495665147278003214038263132482665440473638617224907141921840456298697775614416114258002214133366477225256978686354946574543741340940321119093915648000000 9322710440558604829959009136511338702454795835393430657074087532127798101137907597342888266156714058393780953002900922895883395477991581930695051495594465757934307218329288019665321926743780252675802297135646917072688824949188332167775922530065154942494039867392
22 223784975788617244142015708724272828491814638644686615127335555560074386601770800757071933542872267952332474563431607070573375267183938397622372781602542586727692679923996997381639038683611993283388885246190653175251719335615392243325281250199001710532231168000000 204979338316155365462461481484939065968642065910608027532727406120628337712860289173470250010705659598668000750982619554622105971869360155758935569569185950766766104965135692777005740257370328321803862803201226941886386009012046577419739225797687675994939276132352 370484606489758551757943694244533534648925958035091281860913868017407697960429358153701038292070384155594968745014070127490238157941131467430143734556926359971414990329977534174845961496220027608825511620480609165237747957021518304719498202938516003533902983961625626214400000000 339351152716904863832552019990299822552099229569232971073249946434598443330719019750854186159500890660642455375288787993473585059549357919309715532897055306347543209722342149110865544425904056528066729940097643910364365536160337472390117194815222002633526744183719070050654617600
23 22447431627858006233576443640667825612050740845218790738066021917342883890758071959852333093430125184325260747132548044637980075716648340804324178159315642285671450938811152992376069145054215515843463362602141757527553026289162579001356159836745491523559372299616387072000000 20561075048763457350988101036395520723523718501398229709022043725734895312174478814248144890929270989579187818846301779280101969522634658298542317688477437714370974600131143742468551205133905483407802432145474876603164093118878253201540028709913276989925350962343076857643008 229089445511278500328314896209777578508128158302853888543770206785303930347802439173500357853438052083913352771199041959711413217406385498385472582905186111759434174350872492787358369969999173988016651014840036290664704985091160515004345000475491238409789602118382968888223202711175168000000 209838050077467851145568185103525102513555755599736438894564840200609286235894022007663745449015233227700593300636272550480183036869814416346324975658156294014219810719356646067337014122336370956183811136105810895757617310464093696373669527875277648655508824116109990306971836216886398287872
24 2322258203529381586251759846609454432704495253828414449605663781314646075281504492921516829275793270922161245795904604338725479748138284724611559516733345249006236750477816382262771207409170255350169182301651417339750577773761871078330233705974684223017523930288600744969262596096000000 2127108615228711212635705430212920324442740846533862158640047711532804905333271257333722554782147819599494378500322372387485456244059687575356607874120127744029037007234822243888764353493211290702586757463051404768050959760035183210411266416810789383122586157840357503962836697134137344 146099538462312999640364368579632304378715651620865960217938567334737925512219101709412147260880878625099491798753661351614082699076013786545436472086380401535847839254746685586183520448052006809996630726234300596854277456330393817006215747073809318309184067868563928882388796857220114782644305920000000 133822150556649989635731407990479902224560440597570991389245714362105590776173124924049897814344515814719085076017251234888094972316881587193095906013892538870822332506751137613832228487252798917708729779619232371863911567982508141112205110351472030911233472039254623252632372212219281210055363191111680
25 276534984619152933857485939029929619781195702033865433744021166166711719864959224509201992621052738359735938244819011415495423310757519598431995450011289810489153563353061224381634552614184870461965409027931889976159972795001423206036043381021940222331936982031085613509271172057626694385664000000 253296531497470538439961034724759604076411543955778451957823691058661059878474443622504200935314170533862889498803785012204791626778762010238056086018786947032658484809144769284429588996861526660052418857661666397741990500920011096088397106923623438302784666723047997414364607832585657987782148096 107247945093784000528808507689263939682112137479434712410536832592035735713692346868512261643126610626089223430101818601993204488708372962037572205624506838506399061403275872732097098804363531282819663084422664790374746234638022004162451626862192633035056965652216048175734677514556598728545942694635310415872000000 98235427752113622948216996825721080694490690852013899134251545276590238883957626496610534375621651573956927484304237301276822927117594539800816061967386347306397692365712392799858101410726448060502611536654958833986514909033754675919188975788604762017712828713255247605335360150659679316632352869306006524571680768
26 33873869463865703803820213565320211501548545164508580670387513805542722162117146224765274822884475631474121463633605258205828220002941780389349228010451685785491769560587573182777117591821401460546812684352939541152256215844104896785583743338407117298750983780212106477001128394285450598931024832364544000000 31027298970551304703368731845047977923675017668837185796453068528390410007718484178263277335055997694351404590301523750221162357076064804056874542667069579884840349616630528703928685509759422205170001542574532089434844171023363123939543625443480865159582237384899933711167715484497979516844731538521420988416 80985046746750918609570460320008386573338013914316016919217319963139416102029511803671712298381603220901971376765893293191551208241922298685810940291544617286787507544410531995708881299366798027102086519174847843894990911282910701579106384370471348327986093329017837779321561534846536335619047097600655695370268431351808000000 74179516462857562952871081227539197479420464606778928309565704141826397567608250676486456520708756804965009943116480529875360784399954714421800049556876845802192036684515209266534158908923222560064549097289103986448329487996478753698746352072917482005604120752228971182448828982035620875097815980506704147261606275713861681152
27 4492275865598663624631604191841270192520915723481452639025723538192679318220837560743957504428906953133084114741597284625379755307095090111594084191304962465560253464792868770336161405962843196508386765457938644079662627971479641290777127526573068996407703543461390843078971456885493836574227446823173099643469824000000 4114770132441060796796841969933927024262140563577083911940933543552936590609985213233793353830933580682330526602870524264890080573249754213661568386273259764393416484797054512202909450193473435322552535788645197684559709008242947336595960456172419001486061425464879943450948062065569267322639188173595555046093892878336 66207636176337600638466981063261111264444530701198210487431076254373481535041945296936938855825181943600830121114320443033768636808631032502397840994905736538640601056457743853041241995233687280753618889772896006393475261918595266150592927659122690737370863941708338763918978318002424026736838581869628432260360594983010622367334400000000 60643916809328211185612273102201709478413690158302853844959697567684084440524797993909229166558992979570912743739776962844073550604580339880907458510454719617417132315691899634870599083221132587108030746894882142492026318416695404295894854893737794280806773541913545296271389839951814145095343103195987495467422730417777964135689591193600
28 17933775321838520648797308168722844138325254731181467906132345715297240752250405148677037718195872465006308766438856437036118219545224210074898579183275905756853628100308142148299596101564230305285550449503704309540799972745399625527361989733204823757498458574122383165592851862788159922486984023377314258430685029165094334889984000000 16426721168508567736903669549382323365104712843748525954544379953394043991175664072543637093875842089771240169026612698326728377785905345444008770383215077273165780934496525149302958427114909821700349504430091155426035955832911896459803745846432927027115947761089837906485815937703633544182823976931861062726266836073245661172466712576 1629354103111429529634237294976444661247951798477621148226195918479889658187628567435210676795438131948544390012331552086127654687290450846188164409941076812516264417851104057210381567867725998244665579935369229042446722555550528797569489107122512559027412540258411269867716210643464590138716729760913014497384782190083517090689566665149074128896000000000 1492432299181550326629149204213131456287257324682586901082481181157404119759755019575631958706888055435756714462970378655282136960880187269047571639251609498746152471847493551173939288311175468509560450054500153849720978166149422411573784757653784260262732278990907990744700542725399655067625318828597588574227344645325212080068023806365064795518402560000
29 489328970306985583282502653519835687346784969080743349390799652081052260529897190407169101136525083460753343308751132690411729217605635883707838614128564287297885491685441334186487043163259456147636327235280594888613576738949863875894143702562189979459846156132545514008039031017336490777305425708044502957756258845176206557578105396727382016000000 448208501035364810296281327263403701584940937297002336580029103096915145699000139761390388930681305328713181649462373455473184166251684566063721224212009638766322081474587228033745287643854494537367231826980996580677559736615618836587436220456409726720430525348512799579661503496380652558927963227028122239147135859300019982096404954817772518375424 274060962117993453955426997794814819065738941609354735004529070438799121410838055331213981053654854815521709970186464351416252025624321048305410972379593963103972690684879715066014911533718748379604824925513980349475125076010832267141575539768419246580863553449480084177987075032509005998261208270338072363101530845095358117035455363848577355842559712917690777600000000 251030412007188185911862145082586283996413026383179005028039085811150377578799899496417888575375550625977915852910845966799153303912356804446942734008377673697659110109391705524960682255184014972816896402174314864986166071352558979967008031755650142143105470712249449275370731931243668508524069364706088810861532532578449711181593611297091012539503812674116401915494400
30 84678459135964458142917735133753561379258427581970064598783816402521271472157208235568708670673488954872234857821648463352466986286233615280260406324201904627609154404344612491368694100377271175251210969727610785892181615787258497740876622389498222829987965862723479676221565695098223177769088589242561429771249559158996749588990892109958754217934979072000000 77562555136485044790182894009901773561723193303683252083006221215190776755254491872788306907227353796713900265880194352641748190697470033915778571683848982279487150877042721085244277085558181008087816956470168374090406183416322944081056732570401202707444506332757936266122821839482881943191568036988761465779452880667048013484587083809496593738157052561195008 292362762471897731228059695402441178850327492233278612833128809119272302737649405313438411610936108541220888752237808077888335918084213569564221693591856559321671521998541333688226999741507780477132712909816657727280674125786050954915016665983390584702992729722131302650120429499777706760020175624359427697510394666662679953793696190555115881700989271514966303381104066297856000000 267794231442864954495474763942034919700634923372996644948132549868139882160770196233290541956995662335868896185193535828129761515873081732869056920565573733120482805824009367556407544823403096934924074512141166780692647322660378835070924632441100367743020593340186729372641644986252135959781315404113580895560537837830568781188141793410166091302220281960854928780373292093731241984
31 14999539461801460574064603376366213457100888209724528751799412825778697814118490881657376287113979163954688838479386287340475989371997031483717826779699479119964799773054287549234486561290515411519233393354704679068698921826737681169532601432593868576397062236281589774199203892679004420282959562776147218966059734172741783863682966158909991970123533854841843482624000000 13739062075513618754483777971486108608279405725377112734790497146938190924807549679244786688188836849340374058498963196912297217325819491292468476857843110889265787514148215886725530893646757103166218308495037377698564534333845983808841452859452237562440167558904107928523587706054496194919274387633985468054740079112598747339502438100564039339710472620611751925814132736 319249499762021946344688061941950239493530212057377316326876199128222827841816648726331944719262422052557779030831198335171469653693726842375649837684785537528952785188799536715527275181933810219005159742814462802094204016698698406750714295545297980663555879933639803449699615704484142923646398034790380514752019144199390886322459094373593149026331793424968512831284801174915664358408192000000 292421557740300372629148737968367436421989336605585104334363519475840428913754450764575295918259128307354850885594039008848095485300381011793786170675038284624782499795390123953704959294081234488518522717821778236097628874422999232991011632678288333809306343503355729770987883612008127232830493126156203424763274557218634861808047445945555860114794884163449472880753244221092263578997293580288
32 2961718551161964509746803295740153312918049387770136063979706811135489472317760737839869904832422386484620425754607070662358111729754298160114736794607696770001983177834278032954231756669505457010510125463836897240130060940420073550174231606764190396935413879504033770189334847460893112493235593728077824464909415092019466555722283263688296893421053866096180231170747713716224000000 2712832292500761056883020169399964941451785665521041004786963259133048398893024309286626348159701131395669799976977547739257340861368167134473737909116417984427778685141929884644841628983708097855950621034980294830240561188140247658430265971739445693807474726502102931647620769634484780452512477171017536319000740626050558736632741690136149350728002187683324298344214733313210843136 388597118147056718265015255015317284608614187512894884518196738827748475159064606231060868830012683692176353457251659390789664793933386131411032369939566839671202645425851482014764241126268219665246298347599540950709458676203421459825158047225174300018875465055919223046016991806244807824426340120725952160868981839079192649194293892597980060695596077114904163717088258870241929832423414948546560000000000 355941590219123784828384132782649332176303050300583830657428021707882049101094722236219505081887084553049111417692687970604562396206320378702687098967899981362154863960845062993358003250987883666976672785356809340881507053407674005344746777211940964795297371568570005652034343581542383262894748462350668595380700466074671432631871840691988828458040736999060292057143874488773002191295565220026336870400000
33 23196022755079166738941666807447659280909402553652629008239550649910578685342970665944848826891014514439961617217335811375624583395856326136064540166421323569148725538862985328346570133434079689567726392628721973234305682686534158412000864503491167168622931893801306424711006678155231416314590088596533124473546450786587194986750784193886559471432726190931123513796320057561744686181009850368000000 21246758765404381784899047320008770093351421621861417227292285598356958620695139246409962488886579213459898330474496950476159225226645803212850598305137424978874957247162549437277068070511631506764849497491501938826643962095442264071506847527524357312420183991568285099612230925346342839715578518806968728903572769531937791952452735166417509334500261993082449953850763875429893429883922776066097152 18761738441283880122512849947089184937789140501448164638614179779846491855933907578915308713227152275670552408657872772369858055897721850249349695821182406265607371506011797109886955138556163786010856941881223842338119059675157097949914368471999993044768261904144916320431801018748783276436334380509669820743202826307097309448671111404832506699901647017818888052199367827319182867087246651730431696832463484148121600000000 17185106899168160186318696810244349784381428615384182333701335903788544735434713649040374010390959303155279245409575770529176397206395562557181505863918205513315462456933308415339652025672519947647728827694911476147188426531648040936250887670193903809202991492874558402109795750613330854294628499949764404309703998217026585826071404998329437587109772551079430431752833538852826988155347690548366499834386011838765491814400
34 4981276202187851967250326425081235290023278963245033685852588769966113971758696781279438847690830750424283989713807394964600389579404957221215973041164769827522027078258922084250490430312958199465735739677364512718689613213960531593937801393081259501427000146914314850123145844000786199789291479669829894448711313638600718522491288768270820565025806847467134056767704836533374548741337001459695373778944000000 4562677616297836789033180950733839275982335807278453935996088536316252001752003872389705359831739690189643664246108538109367954169468061585846118079204454205056356069500498469822179122744959572904480442594104630685737191665277472165531098012481210852629273043157437448037887603049373835043131865079567870498350071496590181392663183808517712536958969615716872549091009542297941068952316422869248757070420770816 24837288565870406931066232162367489932976593830013380100359039576171278444754670744254507267723959349812636782240719416751581287712791267871368337291139365633077049184394935357218201247595669701532388139602705097511396365947141224144191806565871793873070072878515585033869163501919318877563785467495295728151764099761612087201516169725335957377069038772699661082935643186613139516637499470451545580255881089674660642239181619200000000 22750101778988535227906317787004010826900211776236477814197522621890107540692151799195301645515931051967172253549404526116472630992043439578787744880386270072549515038234070488763049817545672405320043193514586741774852905395716036209591047360566810998498287779493019143872765908319088196275709000306877075028721746857811907399632315405624310942448400148029685516035859186028513587783526823233697544896055557762035439403913250236006400
35 27035647036183090658366942867007331476923418150710591194056437528408552454439853596847936653169565111063588391512138644386935230274145435205485309272624326399262292980091798158090081877987716928863628881918935882358707638088542521769007537808248960529598991184546470175436553922268894239734767075823480055276122916300113477289269857650168598525069670195944951062914725178055138828925760169135483243526191316992000000 24763722501463014866763205935920814120430117879932766005652866395363050795186039848273885588150920573801529479192549524133400665813618856946614677006458519085740717117498675306052686671789760800368051330787865800920756047654887931726663425336300849804825914869191888634126322647688573648681768865694042982516267281021470983350081920882615254823597196392306252016593086250516387027971706876588313296143675166910578688 831006772406037244472419716413749108943923747532367921154812108848015692881117340529049813372383045667288435877255032593667332053600022178040463360604678332270755617071027575428287551864455055997999655081502376155601426553248507323227910180809885787889829012776478946519632444723830716182104725839784366288207413649025050042883826562962687976266281039269629041407081372435576521939406464776511346096809042949791622464808031794593792000000000 761173612052188915528806133386933048050385937938670587800031734213455188287523073524630314469430986811933755564330433430641191453246252906462317342044826920655559245311039577805513856331532880323658999742212255927091214927617008889364239421909913534011361730609559846250028132602341268359503151493070448872045389707949717127586587383688231377409303601387695472524195675982052019768819683457254274178574866897480588784362854527766746890240000
36 6538105117054802058250453041624417234776674682670840264502532800995088467921552542556663722297620368699203801013631650139473953554185817370459248086600110598484566483017892192988409894151025103756172888675659563094302626536739855081701852954208314843045313945171046306109096457961209316438604927508795377793400540532013156045683166921500270577447912750252945446604228873840189266003861439097145132651156716280319546753024000000 5988679338336217847005714063212332817364452357181975766593326480759469493889932721537327220457537743855280279441273793355901511408482588748352581889833869059655631775692614533185036495289579683295445042398173192320362249935084810557739920775564688190137261522731565827041556415887146014894843705950385734139077173186243199402036616776332105222109433432523931978799142437400801987462022793359518296458095778897880022399043239936 1238865437590780055329969346092839975758301707780231543256358423742790008837588029533897038136415658288163464130934196027373293528936942954675999216617265144257959812639289626416545660113246825835944926458709133864168830555989417377063949258723361709619045177252994177256711473644789348485013141118330560469180512701945853044592607166796958126426397793843033925073488610266339638921933144792039520065514802679169312852058297108845842115428551884800000000 1134758116648459294938696660003645149456203288488272091582685453743845025965474557525077834923471895693703742651227850582335315805244944366189298282168795767429603735107014331457919965894586253088905929002939060887978364393572598052770784883402419904766866200465045887266110854615744747513099723306328330564389274620137530095995822690047559999815225983456495414651913467529166272754222816988010626649151420973077335338589887717360255100404948941248921600
37 35541586100373373701106358139390208587772050966964446821098989075915934010493613679095722550461167871961895764497286562751137039336877991474539943781082932178082783129935511722306644369006665835475902770521807337340114047513346577052543740580082156127411517723956976504784982003149838263369900078575658132598161274831929738940713889808015995928047775166997665189535481736727555757174344717388123463583078679293622515783425851392000000 32554870030429285746104419737212613474397581455862255610574733550306784953200377501622908839579235095482517005181448286264631071074950127974795640364398943297648891188064904968523659808491632152810292342736819368883238813900129140557087517822324169159200050078776967411437325358516459419027977779130432355737206041151795046640016817176979473039046179178196997901428227787874585671901133756081549080876157382845634695950039358571020288 41515825422198215347567340878603972626504675138547593770922348125906875024078011573239010048978900665401997422454770578456883058978589314784703821900512054147863475023123125358433582311209896245405032304067779181366031875645276464154938060431503023566158236067306777280926275971416665803037435238501457527519042670662996529801284656916832131580010772764277204661856343274960472004074613329638973867142606437384856917292664135090645720071400798606458880000000000 38027067700601482797075272694895988606108541208432325824275090549063061397501331716978952535273912672400491158033938369828268224525124926112068177121477705336652705673692844453924842939642998023002422930346643965737844476893773960156944420546232042073326704871609964304952667538090044639062852665764837777912902940663559079970191257496932385227216306169671696179869728814685807556325261990242323340500290464667668684973656430797077692881986565392667676508160000
38 495450189197930752803209128746783233366616427541777659552039980961142298550267996863634658524101908251755291834620451554369535767695045677610777401663750202535233699393104342006747169340507813358983582895787707440489403498139969210313927407732737192640856261761221545433714736103825905475542138438398411307428003947767458704757319673827361160813683127055978188632170502531083721479113546454111780934458437699599578789408154896394426993841537024000000 453815326933898220100532864572884735295323846515026326899905530411210978665411450430821216755167912939301864783337433589023568941285684500929100621389151266000171540789087893417737156646623304524760886601763323517727067906517992823610347958530805068909154133275376601750449693384778813269140113311306295685934975434845299825012578742368954638428519532665306241446868197611129693093779137515293620371183606934027442065274263003249684587174028468289536 3567645385564971440538671315706289191923504964139632139174357726363538730864518986759949466834398879745483125744859461907921783678320313985198552787016123512481534295833877136820661578948119973613471190317530529300943488808429125202023730806478652174262547179057891815312351008896577332762949236307165610425116726529339085627811149471256499291027156905688286181686037197230336452903271719518778361042541483640470914065489019134164964314922023108116355679815394173875650560000000 3267840425402632692419965186941215295534762520322587680528348144298261483040380031447723979987860147692540823773402873167558858535792861403003827328760782279042500770682642662135462938833329567942914543693764389693361288417234500403289894472856380288479234949837691781021709936053230863764379802077713725108316038862699186968761109752343842584275059238907613314755939298916687803740070102405221648042085094176640353178287629652137671638285976645299203322790347779430776716656640
39 7678651466222857574654807706284909984361084252769331622304609265285220829230889488067736080852685336264560605928863105139130622350374852341410039113272854920447872262365885599359331610533014102413038386482269521252876245909204338543487510043314215217366999075554952450500667571759953989025021178388586310243852847998398433398044034217671129862537657858706308446061921820746857478452646347817302160754258538754560028535879820985882631664615241571091036424372224000000 7033380552738593724537692235505122043760539491926230633470159535699156989810763102555672143470123369419582858668639810058588861786884700931169471490589220734056409332545906687000613676361469265257153910857772461408745689730686428715907136656839286872343066970830232379416764327458926477084106214942741234418073756902306531529944187283764451713308314619226819730576551045479473780655558848511936489747390121890886036045478693238743951019378836574989376747084066062336 340856522307977638036272315495572325379166705596902511024468109102843283643244098614626994539582787987302886227681472122225425630796215504384567805121509057558489799847282627536272234899878208435933768643891012616332164288672323177187681422151494891819749474531343969196446055074447067407649303915210020590852213475860005403794598280544014684369570215440566455825830502286791077397578648867897572547106977302005993016611508594194772954916738337143662481501961848336357583734651883696947200000000 312212846985007245320968452869116198133677538373919876974051917320178408368407943768784666009575732115687585811667619952425744753041512501325896125368297212001408809008522563905754013416098849154878835223088414085002660556564070403812506244489036636963649244267300229468819174526545386011793284489708872443343926406569062037954539148057680894409813340219877943556544942573266871170663890511698056902118260021327763800108301597944601565864137382925745038662306696566681706377389480032420547788800
40 2389285806788264445522435352644682022958313079093528155915946517045109500311003604540780608588714084378850910513448562556133326468145134231829390532813516954992595219504655509852278762223409418407720112397757652179837251856691283122577840218067048673311969833130466599541074504793442815006944487048531517720551595072978397845195200447108336526593631821461460001145828181674611964720895308866397114303301219379470063124265724004464267667260265627402634672658609116373057536000000 2188503593674008752434998079935489208731359621707275435620500020543318599615981362262345143904373624624842498952262000348850507094668562308437614053106755009145727583236119650878432972381124283469162855992884935111110678491627068672491218242141565660514687711684943774736370890056372789533565246234091395949704501332472918848950180024490551008990365608806408344705735746710365562883184629677991427294511050219780247249493448817759397529269781562755380175325812902398908698722304 653822524571726995748726861811752959302869840746869764081240618985214998150684819561345425336916892861394898224739744869504559882118069326078040670886172803110810268423615090103387959286563489105930939288090940735457589745782526753360866461660133985827011743371502022540568680777392319911842549431271756307639502706232197300745796750957683877735294398543261791762005448721384021870204082791827827982470652036509857343951134866888810100611032607322972868992651046294825732333561179489997945206236119040000000 598878937205791297091933837742238149696893626519111901494366319529577040463761586612001066339980761703674697721683256908286750535801606313780963579966244197351305924829241357102500726037358258652790915232921513177901092128314426749978173206978468404468129555324388237555696523811200252049155952556824310316859688715886519108251384784328474465559280129758762064664832190422791302072242029025829177800868287187968508298168538772850917382191979718920910587125037727512675136406066474220017400413498361784565760
