k,n,npq,a1,a2,a3,a4,a5,a6,a7,a8,a9plus
23.9000,82,1779,720,315,183,108,81,39,32,33,268
22.4000,83,1761,744,303,158,92,67,53,42,30,272
23.0000,83,1780,738,299,161,106,72,54,32,41,277
23.9000,83,1813,732,331,150,112,77,48,42,40,281
22.4000,84,1794,750,296,156,109,72,59,38,35,279
23.0000,84,1808,739,306,183,116,84,46,46,32,256
23.9000,84,1816,745,306,160,120,78,45,50,27,285
22.4000,85,1757,705,324,168,103,63,49,52,28,265
23.0000,85,1727,665,304,181,98,71,53,47,31,277
23.9000,85,1826,758,309,175,101,66,58,48,34,277
22.4000,86,1799,730,307,190,112,71,45,35,30,279
23.0000,86,1835,763,319,173,113,70,58,37,32,270
23.9000,86,1932,825,348,179,95,67,60,30,31,297
22.4000,87,1858,808,272,176,96,78,66,35,41,286
23.0000,87,1863,759,334,193,97,84,45,42,28,281
23.9000,87,1959,853,316,166,123,68,72,36,38,287
22.4000,88,1877,775,320,204,116,80,51,47,28,256
23.0000,88,1861,773,306,170,118,64,65,42,28,295
23.9000,88,1903,791,337,179,110,60,43,44,34,305
22.4000,89,1908,790,356,172,127,59,44,39,26,295
23.0000,89,1898,806,305,173,113,85,51,46,40,279
23.9000,89,1910,797,315,170,105,84,55,50,37,297
22.4000,90,1880,780,313,176,119,75,61,44,35,277
23.0000,90,1874,754,343,177,122,52,48,38,28,312
23.9000,90,1988,850,317,180,127,83,57,49,22,303
22.4000,91,1882,755,322,188,107,78,64,52,18,298
23.0000,91,1917,799,308,165,115,89,61,45,32,303
23.9000,91,1985,798,350,187,129,90,52,46,46,287
22.4000,92,1852,735,335,175,113,70,65,37,23,299
23.0000,92,1931,800,329,181,111,88,57,35,36,294
23.9000,92,1958,802,310,190,118,87,47,44,34,326
22.4000,93,1964,808,345,197,110,83,62,40,32,287
23.0000,93,1969,809,340,183,134,63,67,46,32,295
23.9000,93,2007,845,332,184,116,81,69,37,38,305
22.4000,94,1994,850,316,178,113,82,73,47,42,293
23.0000,94,2025,847,333,186,112,85,63,45,54,300
23.9000,94,2024,852,352,207,103,79,55,39,28,309
22.4000,95,1962,776,324,181,144,103,52,53,40,289
23.0000,95,1979,785,347,180,124,87,67,50,46,293
23.9000,95,2035,850,314,200,119,87,54,47,41,323
22.4000,96,2006,825,346,177,115,89,58,44,46,306
23.0000,96,2086,862,356,220,126,74,56,54,36,302
23.9000,96,2096,833,392,201,131,89,61,50,30,309
22.4000,97,2039,880,332,176,107,89,67,42,30,316
23.0000,97,2045,831,360,194,129,92,58,33,38,310
23.9000,97,2106,857,368,211,131,82,53,45,36,323
22.4000,98,2021,830,326,207,125,84,51,43,41,314
23.0000,98,2125,912,347,183,130,95,64,48,36,310
23.9000,98,2098,881,342,193,114,81,63,50,38,336
22.4000,99,2059,850,357,184,107,95,76,43,45,302
23.0000,99,2128,898,362,205,105,93,63,55,37,310
23.9000,99,2174,920,339,218,142,83,61,46,45,320
22.4000,100,2110,871,371,203,106,103,65,48,38,305
23.0000,100,2140,893,375,187,116,85,57,46,46,335
23.9000,100,2176,902,386,197,129,74,57,51,45,335
