k,n,logidx,halflogcov,logl1,logl2,skew,incone,logcone,rho,rho2,logq,jhi,mrg,ok,cflen,cfmax,cfidx,cfkind,cfpq,logh11,h22,logsinth,pqnext,cvkind,cvidx,cvt
23.0000,17,26.442095,-1.028116,-1.048064,-1.007822,1.982005,1,-1.044356,1.065064,1.000000,13.869305,2,7.167 e-4,1,332,1395,162,0,0,26.115909,256,-0.005876,28,0,162,0
23.9000,17,27.053696,-1.333916,-1.372872,-1.294843,3.767795,0,-1.287500,4.268805,3.767795,13.508312,3,2.506 e-3,1,339,397,179,0,0,26.727509,256,-0.001981,18,0,178,0
22.4000,18,26.421081,-0.615237,-0.651194,-0.579278,3.649106,1,-0.632132,1.409332,1.000000,14.244472,2,7.770 e-4,1,366,1286,192,0,0,26.113016,256,-0.000018,7,0,192,0
23.0000,18,26.844671,-0.827032,-0.836752,-0.817202,1.421772,1,-0.819796,1.356919,1.000000,14.042330,2,6.062 e-3,1,376,222,198,0,0,26.536606,256,-0.001966,2,0,198,0
23.9000,18,27.460802,-1.135097,-1.145965,-1.122642,1.521676,0,-1.107088,2.013336,1.521676,13.792135,3,2.843 e-3,1,370,372,183,0,0,27.152737,256,-0.028559,7,0,184,0
22.4000,19,26.763958,-0.429633,-0.428095,-0.425607,1.048417,0,-0.422900,1.103737,1.048417,14.275611,3,4.527 e-3,1,381,1962,191,0,0,26.159258,97664,-0.105716,2,0,190,0
23.0000,19,27.201735,-0.648522,-0.659301,-0.636327,1.547286,0,-0.616663,2.248195,1.638948,14.253773,3,5.963 e-3,1,405,271,211,0,0,26.597035,97664,-0.026877,10,0,210,0
23.9000,19,27.821919,-0.958614,-1.049206,-0.868019,31.266645,0,-0.866674,32.076150,31.266645,14.054082,3,1.119 e-3,1,414,892,201,0,0,27.217220,97664,-0.000039,892,0,202,0
22.4000,20,26.572022,-0.547372,-0.577061,-0.517150,3.314182,0,-0.505894,4.150961,3.314182,14.404610,3,3.065 e-3,1,373,1993,203,0,0,26.294763,256,-0.010645,20,0,204,0
23.0000,20,26.987910,-0.755316,-0.790663,-0.719697,4.134311,1,-0.776127,1.337377,1.000000,14.092236,2,1.687 e-3,1,413,603,222,0,0,26.710652,256,-0.005442,9,0,222,0
23.9000,20,27.611743,-1.067232,-1.066946,-1.066326,1.012483,1,-1.056054,1.243407,1.000000,13.855022,3,5.311 e-4,1,417,1881,224,0,0,27.334484,256,-0.023837,3,0,224,0
22.4000,21,26.315472,-0.662220,-0.688705,-0.635393,3.063422,0,-0.630984,3.360607,3.063422,14.064433,3,2.643 e-3,1,403,378,213,0,0,26.018409,512,-0.007177,7,0,212,0
23.0000,21,26.744563,-0.876765,-0.891486,-0.861797,1.865414,0,-0.847941,2.495380,1.865414,14.058956,3,4.870 e-3,1,447,379,235,0,0,26.447500,512,-0.005208,3,0,236,0
23.9000,21,27.338689,-1.173828,-1.175456,-1.171300,1.091210,0,-1.161793,1.332328,1.091210,13.689239,3,3.082 e-3,1,440,324,225,0,0,27.041626,512,-0.018923,2,0,224,0
22.4000,22,26.822068,-0.380859,-0.418278,-0.343369,5.196546,0,-0.336950,5.984742,5.196546,14.583479,3,5.828 e-4,1,452,1715,223,0,0,26.633028,64,-0.001581,23,0,224,0
23.0000,22,27.263162,-0.601406,-0.603764,-0.597156,1.156494,0,-0.584496,1.527912,1.156494,14.289610,3,4.991 e-3,1,452,1275,247,0,0,27.074122,64,-0.041642,7,0,246,0
23.9000,22,27.861789,-0.900720,-0.925713,-0.875311,3.030802,1,-0.910167,1.407752,1.000000,13.981222,2,3.366 e-3,1,451,297,244,0,0,27.672749,64,-0.009151,6,0,244,0
22.4000,23,26.716589,-0.453093,-0.456050,-0.447508,1.217096,0,-0.435070,1.620194,1.217096,14.477074,3,1.166 e-3,1,474,2954,235,0,0,26.535768,64,-0.060456,11,0,236,0
23.0000,23,27.138505,-0.664051,-0.687473,-0.640079,2.974476,1,-0.677228,1.265722,1.000000,14.239173,2,8.843 e-4,1,455,1130,240,0,0,26.957684,64,-0.012647,9,0,240,0
23.9000,23,27.741242,-0.965419,-0.981228,-0.949182,2.089766,1,-0.970575,1.277637,1.000000,13.945130,2,1.904 e-3,1,463,524,240,0,0,27.560421,64,-0.009878,6,0,240,0
22.4000,24,26.736633,-0.431982,-0.457145,-0.406748,3.351936,1,-0.456484,1.015987,1.000000,14.301180,2,4.825 e-3,1,517,562,256,0,0,26.534465,128,-0.001716,207,0,256,0
23.0000,24,27.169850,-0.648591,-0.646083,-0.646070,1.000308,1,-0.644725,1.033125,1.000000,14.284217,3,3.653 e-3,1,530,415,278,0,0,26.967682,128,-0.120678,1,0,280,0
23.9000,24,27.776353,-0.951842,-0.957220,-0.944669,1.351531,1,-0.948961,1.219239,1.000000,13.971731,2,5.462 e-3,1,515,229,266,0,0,27.574185,128,-0.043095,4,0,266,0
22.4000,25,26.622001,-0.506753,-0.556858,-0.456620,12.255376,1,-0.546766,1.286987,1.000000,14.372079,2,2.611 e-3,1,519,411,282,0,0,26.400194,256,-0.000678,37,0,282,0
23.0000,25,27.037889,-0.714697,-0.727526,-0.701426,1.920341,0,-0.699321,2.024108,1.920341,14.114534,3,1.831 e-3,1,539,2983,293,0,0,26.816082,256,-0.011050,9,0,292,0
23.9000,25,27.647859,-1.019682,-1.066479,-0.972861,10.385968,0,-0.962168,13.568835,10.385968,13.850346,3,4.893 e-3,1,538,1418,293,0,0,27.426051,256,-0.000563,20,0,292,0
22.4000,26,26.495689,-0.559300,-0.574249,-0.544178,2.185509,1,-0.565898,1.242483,1.000000,14.309980,2,2.256 e-4,1,564,4431,288,0,0,26.282413,256,-0.004524,7,0,288,0
23.0000,26,26.922241,-0.772576,-0.787967,-0.756939,2.240535,1,-0.775433,1.385238,1.000000,14.137807,2,4.026 e-3,1,546,348,284,0,0,26.708965,256,-0.006395,4,0,284,0
23.9000,26,27.535409,-1.079160,-1.085596,-1.072327,1.411996,0,-1.065290,1.695448,1.411996,13.865351,3,6.143 e-4,1,528,1626,281,0,0,27.322133,256,-0.010355,2,0,282,0
22.4000,27,26.525761,-0.534387,-0.558808,-0.509731,3.762503,0,-0.498632,5.077211,3.762503,14.430714,3,6.696 e-4,1,520,1492,263,0,0,26.371728,64,-0.006344,6,0,264,0
23.0000,27,26.962187,-0.752600,-0.757138,-0.746454,1.334372,0,-0.743976,1.426699,1.334372,14.189574,3,1.643 e-3,1,590,607,315,0,0,26.808154,64,-0.043405,3,0,316,0
23.9000,27,27.578318,-1.060665,-1.073915,-1.046691,2.085615,1,-1.064807,1.278804,1.000000,13.819627,2,5.357 e-3,1,581,301,300,0,0,27.424285,64,-0.019567,6,0,300,0
22.4000,28,26.901949,-0.361828,-0.397857,-0.325734,7.534148,1,-0.387020,1.354501,1.000000,14.510242,2,3.519 e-3,1,563,527,302,0,0,26.728662,128,-0.001808,17,0,302,0
23.0000,28,27.322788,-0.572248,-0.607319,-0.537111,7.140824,1,-0.601288,1.183960,1.000000,14.270893,2,5.172 e-3,1,625,605,328,0,0,27.149501,128,-0.001827,35,0,328,0
23.9000,28,27.941670,-0.881688,-0.887298,-0.875249,1.401269,0,-0.864811,1.876919,1.401269,14.030426,3,1.114 e-3,1,606,1594,313,0,0,27.768383,128,-0.023220,5,0,312,0
22.4000,29,26.818964,-0.393838,-0.413291,-0.374377,3.091040,0,-0.367728,3.748456,3.091040,14.560266,3,7.707 e-3,1,604,320,311,0,0,26.627751,256,-0.000237,13,0,312,0
23.0000,29,27.249194,-0.608953,-0.662743,-0.555160,22.644309,0,-0.550082,26.236714,22.644309,14.385232,3,1.643 e-5,1,593,60847,305,0,0,27.057981,256,-0.000095,52,0,306,0
23.9000,29,27.870636,-0.919674,-0.929251,-0.909089,1.794462,0,-0.902755,2.156255,1.794462,13.975611,3,5.017 e-4,1,617,1993,331,0,0,27.679423,256,-0.029247,3,0,330,0
22.4000,30,26.723138,-0.455968,-0.460014,-0.451133,1.305312,1,-0.451091,1.306925,1.000000,14.444571,3,5.482 e-4,1,592,1823,312,0,0,26.561403,128,-0.023667,3,0,312,0
23.0000,30,27.139026,-0.663912,-0.666798,-0.660293,1.215501,0,-0.649864,1.661995,1.215501,14.271392,3,2.926 e-4,1,626,3416,333,0,0,26.977292,128,-0.021967,1,0,334,0
23.9000,30,27.762858,-0.975828,-1.015061,-0.936585,10.530619,0,-0.935434,10.900440,10.530619,13.886758,3,3.902 e-4,1,621,2561,319,0,0,27.601124,128,-0.000301,101,0,318,0
22.4000,31,26.875196,-0.370842,-0.384015,-0.357351,2.285541,0,-0.356751,2.328464,2.285541,14.579999,3,3.060 e-3,1,616,326,319,0,0,26.492164,143488,-0.009852,14,0,320,0
23.0000,31,27.300028,-0.583258,-0.589794,-0.576474,1.511200,0,-0.570819,1.800788,1.511200,14.311300,3,1.174 e-3,1,643,851,333,0,0,26.916996,143488,-0.007682,4,0,332,0
23.9000,31,27.903737,-0.885112,-0.886483,-0.883175,1.107987,0,-0.872344,1.550114,1.107987,14.047096,3,1.328 e-3,1,648,752,331,0,0,27.520705,143488,-0.017555,2,0,332,0
22.4000,32,26.916844,-0.341458,-0.346258,-0.336594,1.362393,1,-0.337302,1.331877,1.000000,14.565348,2,3.091 e-4,1,640,3235,326,0,0,26.743557,256,-0.002056,2,0,326,0
23.0000,32,27.350061,-0.558066,-0.563863,-0.551400,1.490047,0,-0.549812,1.567703,1.490047,14.386667,3,1.151 e-3,1,642,867,355,0,0,27.176774,256,-0.027837,5,0,356,0
23.9000,32,27.956565,-0.861318,-0.863712,-0.857908,1.204081,1,-0.853596,1.382225,1.000000,14.055235,3,1.327 e-3,1,686,2671,374,0,0,27.783278,256,-0.032539,2,0,374,0
22.4000,33,27.174113,-0.225757,-0.231800,-0.219303,1.510477,1,-0.226709,1.182944,1.000000,14.658845,2,2.270 e-3,1,698,440,350,0,0,26.985073,512,-0.013567,7,0,350,0
23.0000,33,27.594202,-0.435802,-0.439135,-0.431967,1.266857,1,-0.438286,1.028416,1.000000,14.392224,2,3.408 e-5,1,729,29339,382,0,0,27.405162,512,-0.016528,42,0,382,0
23.9000,33,28.203331,-0.740366,-0.772544,-0.708183,8.364004,0,-0.701743,10.344382,8.364004,14.107802,3,2.375 e-3,1,680,1348,363,0,0,28.014291,512,-0.000181,17,0,362,0
22.4000,34,27.191985,-0.208580,-0.264597,-0.152563,45.111620,1,-0.254424,1.413235,1.000000,14.665755,2,9.023 e-4,1,681,1107,364,0,0,27.008505,512,-0.000040,90,0,364,0
23.0000,34,27.620105,-0.422641,-0.483892,-0.361389,64.398689,0,-0.358313,71.499258,64.398689,14.395890,3,2.845 e-3,1,747,2273,369,0,0,27.436625,512,-0.000007,164,0,368,0
