== kernel identity for rational surrogates ==
e,k,n,zerof,equal,inlat,logcoordZ,logpred,t,g,logkerlen,logpredlen
4,23.9000,23,1,1,1,27.086402,27.086402,17,998244352,26.323719,26.408323
4,22.4000,24,1,1,1,28.082485,28.082485,1,124780544,27.320173,27.519303
4,23.9000,24,1,1,1,27.042765,27.042765,1,124780544,26.280452,26.479583
5,22.4000,6,1,1,1,21.568768,21.568768,1,26411008,18.778315,19.350646
5,23.9000,6,1,1,1,20.529047,20.529047,1,26411008,17.738594,18.310925
5,22.4000,7,1,1,1,23.056559,23.056559,1,8126464,20.833122,21.323691
5,23.9000,7,1,1,1,21.967328,21.967328,1,8126464,19.743890,20.234460
5,22.4000,8,1,1,1,24.162593,24.162593,1,11173888,22.177278,22.606527
5,23.9000,8,1,1,1,23.122872,23.122872,1,11173888,21.137557,21.566806
5,22.4000,9,1,1,1,24.726637,24.726637,1,105644032,22.712302,23.093856
5,23.9000,9,1,1,1,23.648408,23.648408,1,105644032,21.634073,22.015627
5,22.4000,10,1,1,1,24.743295,24.743295,1,105644032,22.930394,23.273793
5,23.9000,10,1,1,1,23.703575,23.703575,1,105644032,21.890673,22.234072
5,22.4000,11,1,1,1,25.016858,25.016858,1,666370048,23.201333,23.513513
5,23.9000,11,1,1,1,24.008644,24.008644,1,666370048,22.193119,22.505299
5,22.4000,12,1,1,1,25.799001,25.799001,1,56885248,24.339837,24.626002
5,23.9000,12,1,1,1,24.759280,24.759280,1,56885248,23.300116,23.586281
5,22.4000,13,1,1,1,25.765961,25.765961,1,7736393728,24.041143,24.305296
5,23.9000,13,1,1,1,24.752899,24.752899,1,7736393728,23.028082,23.292235
5,22.4000,14,1,1,1,26.587487,26.587487,1,32505856,25.376747,25.622032
5,23.9000,14,1,1,1,25.547766,25.547766,1,32505856,24.337026,24.582311
5,22.4000,15,1,1,1,26.534178,26.534178,1,130023424,25.311734,25.540667
5,23.9000,15,1,1,1,25.517562,25.517562,1,130023424,24.295119,24.524051
5,22.4000,16,1,1,1,25.970330,25.970330,31,4063232,25.255522,25.255522
5,23.9000,16,1,1,1,24.930609,24.930609,31,4063232,24.215801,24.215801
5,22.4000,17,1,1,1,26.554432,26.554432,31,4648337408,25.467419,25.467419
5,23.9000,17,1,1,1,25.494325,25.494325,31,4648337408,24.407312,24.407312
5,22.4000,18,1,1,1,27.048591,27.048591,1,11084496896,25.782911,25.973688
5,23.9000,18,1,1,1,26.008870,26.008870,1,11084496896,24.743190,24.933967
5,22.4000,19,1,1,1,27.539242,27.539242,31,35041312768,26.460335,26.460335
5,23.9000,19,1,1,1,26.481280,26.481280,31,35041312768,25.402373,25.402373
5,22.4000,20,1,1,1,27.004573,27.004573,31,32505856,26.328755,26.328755
5,23.9000,20,1,1,1,25.964852,25.964852,31,32505856,25.289034,25.289034
5,22.4000,21,1,1,1,26.935721,26.935721,1,260046848,26.029540,26.193064
5,23.9000,21,1,1,1,25.912504,25.912504,1,260046848,25.006323,25.169846
5,22.4000,22,1,1,1,27.487132,27.487132,1,65011712,26.685154,26.841245
5,23.9000,22,1,1,1,26.447411,26.447411,1,65011712,25.645434,25.801524
5,22.4000,23,1,1,1,27.452886,27.452886,1,260046848,26.625504,26.774808
5,23.9000,23,1,1,1,26.428234,26.428234,1,260046848,25.600851,25.750155
5,22.4000,24,1,1,1,27.451741,27.451741,1,32505856,26.745476,26.888559
5,23.9000,24,1,1,1,26.412020,26.412020,1,32505856,25.705755,25.848838
6,22.4000,6,1,1,1,20.190941,20.190941,1,14483456,17.500617,17.972819
6,23.9000,6,1,1,1,19.151220,19.151220,1,14483456,16.460896,16.933098
6,22.4000,7,1,1,1,21.875565,21.875565,1,4456448,19.737952,20.142697
6,23.9000,7,1,1,1,20.786333,20.786333,1,4456448,18.648721,19.053465
6,22.4000,8,1,1,1,23.129223,23.129223,1,6127616,21.219005,21.573156
6,23.9000,8,1,1,1,22.089502,22.089502,1,6127616,20.179284,20.533436
6,22.4000,9,1,1,1,23.808085,23.808085,17,57933824,22.175305,22.175305
6,23.9000,9,1,1,1,22.729857,22.729857,17,57933824,21.097076,21.097076
6,22.4000,10,1,1,1,23.916599,23.916599,17,3418095616,22.039343,22.447097
6,23.9000,10,1,1,1,22.876878,22.876878,17,3418095616,20.999622,21.407376
6,22.4000,11,1,1,1,24.265316,24.265316,17,21560295424,22.391286,22.761971
6,23.9000,11,1,1,1,23.257102,23.257102,17,21560295424,21.383072,21.753757
6,22.4000,12,1,1,1,25.110087,25.110087,1,1840513024,23.361193,23.937089
6,23.9000,12,1,1,1,24.070367,24.070367,1,1840513024,22.321472,22.897368
6,22.4000,13,1,1,1,25.130040,25.130040,1,250309771264,23.137780,23.669376
6,23.9000,13,1,1,1,24.116979,24.116979,1,250309771264,22.124718,22.656314
6,22.4000,14,1,1,1,25.996990,25.996990,1,1051721728,24.537910,25.031535
6,23.9000,14,1,1,1,24.957269,24.957269,1,1051721728,23.498189,23.991814
6,22.4000,15,1,1,1,25.983047,25.983047,17,4206886912,24.717700,24.989536
6,23.9000,15,1,1,1,24.966431,24.966431,17,4206886912,23.701084,23.972920
6,22.4000,16,1,1,1,25.453644,25.453644,17,131465216,24.483990,24.738836
6,23.9000,16,1,1,1,24.413924,24.413924,17,131465216,23.444270,23.699116
6,22.4000,17,1,1,1,26.068140,26.068140,17,150396207104,24.741272,24.981127
6,23.9000,17,1,1,1,25.008033,25.008033,17,150396207104,23.681165,23.921020
6,22.4000,18,1,1,1,26.589315,26.589315,17,358637109248,25.287882,25.514412
6,23.9000,18,1,1,1,25.549594,25.549594,17,358637109248,24.248162,24.474691
6,22.4000,19,1,1,1,27.104138,27.104138,17,1133756022784,25.810624,26.025231
6,23.9000,19,1,1,1,26.046177,26.046177,17,1133756022784,24.752663,24.967270
6,22.4000,20,1,1,1,26.591225,26.591225,17,1051721728,25.711530,25.915407
6,23.9000,20,1,1,1,25.551504,25.551504,17,1051721728,24.671809,24.875686
6,22.4000,21,1,1,1,26.542056,26.542056,17,8413773824,25.605230,25.799399
6,23.9000,21,1,1,1,25.518839,25.518839,17,8413773824,24.582013,24.776181
6,22.4000,22,1,1,1,27.111361,27.111361,1,2103443456,26.151349,26.465474
6,23.9000,22,1,1,1,26.071640,26.071640,1,2103443456,25.111628,25.425753
6,22.4000,23,1,1,1,27.093453,27.093453,17,8413773824,26.238090,26.415374
6,23.9000,23,1,1,1,26.068801,26.068801,17,8413773824,25.213438,25.390722
6,22.4000,24,1,1,1,27.107284,27.107284,1,1051721728,26.256154,26.544102
6,23.9000,24,1,1,1,26.067563,26.067563,1,1051721728,25.216433,25.504381
== critical denominator in the true-G metric ==
k,n,logbcrit,halflogcov,logl1,logl2,logMODoveridx
22.4000,4,-0.802550,-1.533395,-1.529968,-1.529676,2.252728
23.0000,4,-0.627236,-1.793325,-1.874515,-1.704502,2.252728
23.9000,4,-0.283936,-2.053255,-2.051075,-2.047390,2.252728
22.4000,5,-1.323249,-1.959229,-2.052150,-1.864631,3.120243
23.0000,5,-1.045990,-2.167174,-2.190779,-2.133380,3.120243
23.9000,5,-0.904487,-2.444432,-2.603794,-2.284963,3.120243
22.4000,6,-0.603963,-1.734429,-1.739176,-1.723903,2.275884
23.0000,6,-0.386994,-1.965479,-1.984305,-1.938674,2.275884
23.9000,6,-0.095716,-2.254290,-2.270650,-2.227723,2.275884
22.4000,7,-0.668300,-1.217525,-1.271460,-1.163336,1.782378
23.0000,7,-0.395276,-1.465077,-1.493542,-1.435782,1.782378
23.9000,7,-0.318670,-1.762140,-2.011061,-1.513210,1.782378
22.4000,8,-0.711543,-0.928380,-0.925593,-0.918132,1.599388
23.0000,8,-0.525358,-1.144988,-1.172625,-1.111227,1.599388
23.9000,8,-0.210155,-1.448240,-1.463926,-1.430244,1.599388
22.4000,9,-0.757860,-0.958740,-0.965543,-0.944437,1.671289
23.0000,9,-0.531524,-1.189789,-1.201306,-1.178262,1.671289
23.9000,9,-0.218758,-1.497855,-1.504671,-1.489308,1.671289
