k,n,ok,brk,idx,parity,len,irat,pqat,pqnext,pqw5,pqw20,pqmax,logh11,logh22,logmz,logg0,incone,redst,jhi,rho,rho2,skew,loglam1,logcone,logq,v2qp,dinf,d2,q1,q2,q3,q4,q5,q6,q7,q8,q9,cY,cX,cIdx,intq
23.0000,6240,1,1,70295,1,134566,0.522387,1,2,3,131,17007688,27.93906,0.00297,2.37718,0.00560,0,1,3,2.165864,1.648695,1.648695,-0.225630,-0.225506,14.735781,6249,0.015303,0.047106,55896,22994,12497,7798,5585,3947,2971,2364,20513,1,1,1,1
23.9000,6240,1,1,71438,0,137648,0.518994,1,139,139,393,511908,28.56290,0.00297,2.37718,0.00560,1,1,2,1.253801,1.000000,40.208879,-0.537804,-0.537768,14.423696,633,0.037284,0.004875,57097,23253,12830,8254,5642,3973,3162,2512,20924,1,1,1,1
22.3500,6252,1,1,69328,0,132446,0.523447,1,7,8,1162,455717,27.49496,0.00155,2.38215,0.00784,1,0,2,1.274271,1.000000,2.580133,0.002139,0.002178,14.963638,10323,-0.000146,0.076485,54754,22591,12548,7814,5404,3987,2939,2374,20034,1,1,1,1
22.4000,6252,1,1,69122,0,132278,0.522555,1,1,43,88,16997997,27.52955,0.00155,2.38215,0.00784,1,0,3,1.412020,1.000000,1.300802,-0.015095,-0.015040,14.946348,10011,0.001006,0.074259,54853,22406,12250,7846,5326,3982,3052,2436,20126,1,1,1,1
23.0000,6252,1,1,70464,0,134982,0.522029,2,376,376,376,121963,27.94553,0.00155,2.38215,0.00784,1,1,2,1.067251,1.000000,26.219953,-0.223330,-0.223320,14.738177,6259,0.015152,0.047083,55993,22901,12749,8015,5511,4010,3032,2433,20337,1,1,1,1
23.9000,6252,1,1,71970,0,138146,0.520974,3,2,5,718,2160894,28.56927,0.00155,2.38215,0.00784,1,1,3,1.401430,1.000000,1.340556,-0.534960,-0.534907,14.426467,633,0.037078,0.004865,57318,23449,12860,8118,5783,4158,3167,2474,20818,1,1,1,1
22.3500,6264,1,1,69291,1,132754,0.521954,3,3,21,30,301649,27.50695,0.00166,2.38807,0.00633,0,0,3,1.675042,1.427706,1.427706,0.008261,0.008343,14.969562,10341,-0.000557,0.076441,55061,22613,12278,7842,5477,3953,3027,2360,20142,1,1,1,1
22.4000,6264,1,1,69256,0,132852,0.521306,1,1,6,832,1002878,27.54158,0.00166,2.38807,0.00633,1,1,3,1.408749,1.000000,1.298638,-0.009050,-0.008995,14.952388,10032,0.000602,0.074242,54968,22857,12208,7832,5406,4050,3030,2320,20180,1,1,1,1
23.0000,6264,1,1,70428,0,135097,0.521318,3,1,26,265,510548,27.95754,0.00166,2.38807,0.00633,1,1,3,1.412210,1.000000,1.094591,-0.217014,-0.216959,14.744429,6272,0.014715,0.047071,55836,23113,12707,7985,5442,4030,3074,2509,20400,1,1,1,1
23.9000,6264,1,1,71951,1,138346,0.520084,1,1,5,56,2148393,28.58131,0.00166,2.38807,0.00633,0,0,3,1.553980,1.113281,1.113281,-0.528899,-0.528829,14.432540,632,0.036641,0.004846,57238,23638,12904,8191,5678,4186,3135,2475,20900,1,1,1,1
22.3500,6276,1,1,69116,0,132325,0.522324,1,61,61,1038,213253,27.50710,0.00188,2.38049,0.00646,1,1,2,1.023746,1.000000,1.498787,0.008463,0.008466,14.969377,10361,-0.000566,0.076443,55168,22218,12331,7597,5360,3819,2999,2331,20501,1,1,1,1
22.4000,6276,1,1,69227,1,133193,0.519753,32,37,37,37,97450,27.54178,0.00188,2.38049,0.00646,0,1,3,22.731651,18.062830,18.062830,-0.009076,-0.008578,14.951840,10047,0.000574,0.074214,55393,22393,12582,7813,5452,3911,3042,2400,20206,1,1,1,1
23.0000,6276,1,1,70450,0,135038,0.521709,2,1,35,331,1072285,27.95771,0.00188,2.38049,0.00646,1,1,3,1.413243,1.000000,1.046624,-0.216809,-0.216754,14.744638,6281,0.014701,0.047048,56066,22948,12580,7944,5365,4073,3073,2400,20588,1,1,1,1
23.9000,6276,1,1,72198,0,139015,0.519358,1,3,30,30,797256,28.58150,0.00188,2.38049,0.00646,1,1,2,1.376754,1.000000,1.987633,-0.528759,-0.528708,14.432647,633,0.036633,0.004844,57946,23563,13060,8166,5612,4077,3074,2501,21015,1,1,1,1
22.3500,6288,1,1,69529,1,133289,0.521645,1,1,117,360,150569,27.50296,0.00301,2.38383,0.00660,0,1,3,1.598397,1.164471,1.164471,0.007003,0.007077,14.968511,10382,-0.000473,0.076457,55373,22720,12327,7858,5507,3911,3064,2414,20114,1,1,1,1
22.4000,6288,1,1,69224,0,132975,0.520583,1,2,25,209,69316,27.53769,0.00301,2.38383,0.00660,1,1,2,1.411379,1.000000,1.619810,-0.010385,-0.010330,14.951058,10066,0.000691,0.074216,54964,22594,12612,7666,5474,3952,3089,2379,20244,1,1,1,1
23.0000,6288,1,1,70516,0,135245,0.521398,1,1,25,49,589533,27.95360,0.00301,2.38383,0.00660,1,1,3,1.332687,1.000000,1.142625,-0.218310,-0.218264,14.743241,6294,0.014804,0.047059,56141,23114,12436,7947,5524,3974,3097,2353,20658,1,1,1,1
