k,n,ok,brk,idx,parity,len,irat,pqat,pqnext,pqw5,pqw20,pqmax,logh11,logh22,logmz,logg0,incone,redst,jhi,rho,rho2,skew,loglam1,logcone,logq,v2qp,dinf,d2,q1,q2,q3,q4,q5,q6,q7,q8,q9,cY,cX,cIdx,intq
22.4000,2090,1,1,23082,0,44018,0.524388,2,2,55,55,105616,27.48772,0.00788,2.36582,0.02627,1,1,3,1.402070,1.000000,1.460073,-0.033982,-0.033820,14.927048,3344,0.002266,0.074297,18126,7480,4099,2605,1825,1249,1050,792,6791,1,1,1,1
23.0000,2090,1,1,23649,1,45151,0.523787,1,4,14,152,26147,27.90360,0.00788,2.36582,0.02627,0,1,3,1.536146,1.087215,1.002468,-0.241824,-0.241619,14.719296,2089,0.016415,0.047069,18743,7766,4225,2681,1794,1349,958,807,6827,1,1,1,1
23.9000,2090,1,1,24033,1,46011,0.522343,2,2,10,609,186976,28.52744,0.00788,2.36582,0.02627,0,1,3,1.677907,1.305016,1.305016,-0.553818,-0.553570,14.406834,210,0.038424,0.004834,19097,7760,4311,2685,1909,1406,1054,808,6980,1,1,1,1
22.3500,2091,1,1,22907,1,44012,0.520484,10,29,30,493,176065,27.46422,0.00398,2.36215,0.02203,0,0,3,3.166363,3.069694,3.069694,-0.012932,-0.012381,14.947226,3458,0.000828,0.076689,18149,7542,4137,2596,1746,1262,1055,754,6770,1,1,1,1
22.4000,2091,1,1,23255,1,44525,0.522303,2,23,23,2842,84651,27.49902,0.00398,2.36215,0.02203,0,1,3,10.061293,8.997166,8.997166,-0.030593,-0.029489,14.930169,3353,0.001975,0.074446,18744,7415,4132,2544,1750,1366,1050,770,6753,1,1,1,1
23.0000,2091,1,1,23287,1,44773,0.520124,1,8,3022,3022,243678,27.91504,0.00398,2.36215,0.02203,0,1,3,4.633454,3.764498,3.764498,-0.238395,-0.237661,14.722824,2100,0.016142,0.047282,18544,7525,4165,2726,1729,1342,1016,765,6960,1,1,1,1
23.9000,2091,1,1,23993,1,45981,0.521814,3,61,61,3629,18891,28.53858,0.00398,2.36215,0.02203,0,0,3,4.524767,4.248622,4.248622,-0.550191,-0.549469,14.410477,217,0.038130,0.004992,19037,7854,4241,2671,1833,1396,1033,858,7057,1,1,1,1
22.3500,2092,1,1,22989,1,44209,0.520019,40,7,40,40,351635,27.46866,0.00431,2.36411,0.02076,0,1,3,4.806771,3.713416,3.713416,-0.010805,-0.010054,14.951166,3459,0.000672,0.076655,18372,7536,4102,2588,1764,1295,997,758,6796,1,1,1,1
22.4000,2092,1,1,23130,0,44318,0.521922,1,21,21,21,35177,27.50312,0.00431,2.36411,0.02076,1,1,2,1.264227,1.000000,6.794768,-0.028179,-0.028067,14.932537,3355,0.001880,0.074443,18454,7506,4064,2447,1796,1368,1058,822,6802,1,1,1,1
23.0000,2092,1,1,23383,1,45027,0.519322,1,8,8,114,87772,27.91927,0.00431,2.36411,0.02076,0,1,3,1.936527,1.587676,1.587676,-0.235908,-0.235592,14.725565,2100,0.015999,0.047251,18565,7848,4179,2612,1854,1367,1054,753,6794,1,1,1,1
23.9000,2092,1,1,24071,1,46217,0.520837,1,5,7,119,133121,28.54284,0.00431,2.36411,0.02076,0,1,3,3.670987,2.906351,2.906351,-0.547836,-0.547214,14.414008,217,0.037964,0.004988,19185,7830,4276,2755,1857,1356,1083,822,7052,1,1,1,1
22.3500,2093,1,1,23013,1,44123,0.521577,14,17,17,249,74351,27.46959,0.00464,2.36728,0.02267,0,1,3,8.260492,7.310399,7.310399,-0.010223,-0.009215,14.949701,3457,0.000616,0.076581,18380,7459,4065,2522,1739,1281,1030,751,6895,1,1,1,1
22.4000,2093,1,1,23020,0,44241,0.520344,1,5,17,103,47805,27.50436,0.00464,2.36728,0.02267,1,0,2,1.285309,1.000000,1.966601,-0.027296,-0.027176,14.933941,3352,0.001820,0.074334,18411,7444,4196,2511,1829,1320,969,813,6747,1,1,1,1
23.0000,2093,1,1,23281,1,44896,0.518566,1,1,16,128,129390,27.92031,0.00464,2.36728,0.02267,0,1,3,1.722472,1.219955,1.219955,-0.235155,-0.234895,14.726068,2097,0.015951,0.047159,18421,7641,4203,2715,1919,1367,986,849,6794,1,1,1,1
