n,best_digits_correct,best_q_n_bit_length,q_n,p_n
39,253.0853156876296,1297,2313559148143932419787918474893795869034749543689387704737138848425927631783273300639043118625031752475062335761300672165484139997887135323898727121506591582855308352057307209989021756180496451192306754625363687879545505576702434803704698658300576548859483227621484911404630690909182476391094922491349777575598843230737295023068737767389253486795728760193215380708151407383378597328907776000,2119140579793797729891533343033682318080663737446176750271178119762135420692382395254854209811450753637103616399777239711656270891979836140496675514202623622793059950812850103900936264487432921982993930444485491728985544823814697434478484736580944725995397711427707749681902132370408494807238085233501407430076571072818779341154731424607642640714369632519515972675278781763386214501779556352
40,259.583043979814,1323,131891065472354830426949394890304869765509496219342659265394302172633898015786128325818831155542475354321178607659489268312622902039648837354692835246460913920904822668392218831384496629493094595337681257668903593674967286971543858667394657073253257741890715853380112550049642362089777599561114123184372366891184689969751464771902893117677641624215101388872005711166217288751347989925807425717030400,120807678152051987548302924640362443488845639728520793250228904594060881779053480952568224651297840828084061552094846800636271738803641024760121986715535619953531326446057060324336672361485914009332343549456419952232437343966135547026370251963856550115060494695843806622075237711975089589294678147924113373599400525908070167717430672805219413130414771998927517063461486419631933809860476019751673088
41,266.080773463705,1363,-124028649683776313678367656097213060934622293612234898824973583196976706540577076241130401420696270768150691078321789279796237580223869103137312659714573108581141655278402146527467710879913496782261935516195771030940066180206970483424029491252532299488398761959546889109089898243817768876392941103920100442454538401518766804786432540668049607716403464318926754517609728113228520650834967740292769422402054144000,-113605975802598318457047655082934343687677748258775044714217525361481759885709235679942363605414037852743510525684075793279325707739224418400616862537550914592057660962610510292736301563484322239109298872134943436715696624687901113125606200190808831318649249388440127147381035547869348122265699386561257255159054413872364008576488071556693115941400676208494994462324746525075318246013890818058649734155292270592
42,272.5785040542382,1397,-3356188310619249303023577316426054243871126523217807316332902763918866163187391795890496386485103385180761703062114817168150058879044066565091644237323673285885262448145448251963095223657729371485052514727396405245667321463875870603223832947268385921813193371974790426862952107788406721495263606636455663921018096887281374156605149323011004892006662904437874458879549298389822680586618590118483540474138261156657433600000,-3074153020106997582423794072701182807931467455956429552067554436536359506388266600235340114116149152965159887860099646905967785722879101695513044153443369225003468654903432031035369798084739287952797809954887069475402439487619068328847419344157826954461762568637563445513732476775334024167075996393210212900319204211185503981047419644059967624284399156287276828223852476379008298965449044657459046652197839732475167297536
43,279.076235674257,1429,9764765184663559010477533382456366549548253897971371878881286841519828647908817673049706070079728288849816333595082997466819298640984029643953331025890579180050937005750539408573342360123637926051488810347756656306359109631975288377494136820424387145805796279267219273852643394879347717484948205899960253840993731097656917037754155522944034960646601545969217606922443647817427426528825525267789515505355321902474108876677090368000,8944188944371378587451665624119679244646573489573803350625671902248618601248651299912175486887122607615587214169752985303577034034579041709628910841655658080776697945782628556854233580443707865427995444444725058811478562795465682735434068691537578628081099750945073703953888160898531831870296506040412142943470001926349537810935006776908613808011045833000338044904536898426494758544104388063832970218621387647427881914847558811392
44,285.5739682536146,1465,-743445768909233279881873301368334075115076748915402581851080961406313159134388509069223860631774387924550132818996411199189052140316404417999109635608740924314158099886540855152002793185544707754744720697622648178089578595265081140153187428327911201036200445245307708137583097643017602076411694812714688007719398534467596163855511256168680022390072408968738958957118888526723315979109782297552491293540625537140471721872059021275630848480000,-680970745457485320204175026730525143007051216074688449663428549824872930160003020289946508369718295610860918492721171775373285182124505958427007786172273898716603213753755262875755515210918046918762703112567533924555580842762318803385735739172553037357212064271817899543876336263125379526253211183743668695470842017746495553997342819127892783827041741059842534522593681678254306208123794412169896768180915710042113956095456932043936052306048
45,292.07170172839545,1494,547852728763519125579377180991762992111192803216727675001019541410431655763172595844257779131464681095607729781436512516481285530093329314943185722688595796186354969179057851963350973091383735887453713223602175284578183765409891266411495925974342133905596662275683738254133234806474668348041328398683925223377918695436492321738518480744334168821294449026181696564667020331560904598597384146082466935364288099962638262560104482901069448134025604352000,501814250223487602378122525761790425111389298177988498786291952929754580269962561347031766027310230184917156440433367362787720178605057290720005461902241845604560027484169771122382020718077628717541612563400163390684193278549166533636901166221200109053494342909924994767340642373533275915023987001675933869126511606684975069799187808529259045636166935063275977753774365571245903659261873979344117243656540676785345636066147043725555990841490401201152
46,298.5694360402384,1528,-5763228409225822020288960441809238044625264969155860927585803268609510064907574707840124718371140494001515070396997511831973742758597728773269667471591422365920795641294464319603385981163292791712081023643295320185944119737677534000319251520285779476147154338832603524592174801114158745932260946631066842900907068439300686505533406721135782975329104104586647815606325056170552178957578279156465665270686274134779948746642277281419987084654884341348050816768000,-5278918934235558809169967322227123242474667374829083362259935951981647363986811980890599389782807894947184757463019003998672581874545897388060226286956539055557927136427831984690457588510432260163442409045936074769398252272365163927919435562838819886500514876228577473252635121259431386727459059294609858383155501247694670423683421030314163224904584220427233095247781398433546730366850863704939113895331906341887818309208936444066276648630278805677399499539456
47,305.06717113574615,1570,25399791677472275928441535826431526141152766349963170722844024389326445925947911558285864875543311508169178324309510267207720076936088454312071657912232168521163205772093011404677587722313831998418864765336976894948770683416839368520433291312756829466107119152829321464829583627766017239002044044197245727110141578673265531538687763347207428202247160380719286340466794676217170354182211485109860355653092020068218739924198308951210446958453714202114270410990944297200640000,23265335275833475703000605191516556286774075777063498086665464764550905313837796540699347617542600366690655965079148564483944464487830666305312149922473217656530602245306721231909101201177333702733711872279431100973524990974721438960462486311830310445424149077359292609782325688351658684327486954717075691716118845991301481350314146710057172961645915087392214089335224116557920458147313001884760679968131764128450649706671341463829872161283140987519080447353985867228270592
48,311.5649069659687,1602,100350827362241416285526359049496778405147487715338135062961566448097864646579335078585535409715595472419747986928521224086408354309565986610682698694391992667925769017654629404236002208116748475693727413364762224989960436602857210418217960820060674363119296975953940631670644514096707427124482159581581266722313552312917435241370193369494915991049543167295691476700826052964029525088829653117853518101645948773369999219671172279689020883032042549178039004674922078750985203401104000,91917905211030986824424404956106781321365653840796426065785585158796627580635580865679889475495905349945011797171063507963356344354226922339084621815178506813273569888985046523539887680804286024168833343124194155364214326814554322709474374159568007446663833906647519931155889571296365488878445450470903191476121199683917459831561956379732490812622410387604227660812048517771624262848813880111211726700992385869632133250092700819714921087322095747596639432609640261608795700647400896
