n,best_digits_correct,best_q_n_bit_length,q_n,p_n
86,558.4791598011481,2879,-279643064845256789846756504638702984081173256718607755640756765817029567684246038149428272505331419555501119243661756349303380183091654253798948968400436196695308843018768343373186821994580564024854720627986206672478916669339972867908260762176444924288815448008942457968652673514284131105163541277329582869352967779748446405728973212033645984193129947707249987198869802406314107669311340283429943759591636670693053467325639842642872177228874543291052264325470667824358421318615413979941564044675526597561768162357172308426888520690055447955489087308056168871739462752459311419105164112210459507756988772044105335734518689386625405018935254447055926626893714434235666957596210788611634049505695761825617290949689842805514307781864957632514959484534172226283069587238244617662394657031209734410231005623349316322696238157709970198972569665268101483297962352472128332800,-256143426048524222113244520730473160208293250074120441282796809380792104501311940154771149284717363761758402303935184415679000000579928454621413477542257760977559326868694227086951072079067156150126704317884792548958385986141260453015601403376527660741191770897539031577748325640446433316241839782334945076759344783365151851693020784293764320615663678239982900020954976740471692413249535033473692948964842791088674434534888889699798442778275773415422525811459125143383229003381718964634620545316306944624141958573229878126664727843111119541484740330650494103764427593807350294168362283841601022056028396519571496861153460517045246450268166743382754340439416835806604707254574559179743054342370330212807693816781182817384700413890739792209429117193960010425872711081702069777616225554533652931891362185262870415876756233577370965571557400276511195283780862916853868032
87,564.9769074390555,2912,-2488519948675218712510513705972737826207865005971288002580235759063595090623476376962428485914235084311712677895126160652522865192390854999157561491446064154480683335469777751520162282085306853928300502017606413027013396096841527396127410145681847857065460328512351172078046586914508914119697128026003434335873523736913328081285175913716123152544698377727193821001903049827266229126324062493159202615791169972562293084388591023382407974205354310681102365433736176371141984274400672834772899942111721563410321764960645388891845701775348991868810270185904267958588265917850849529799345724730056693966277273818779397539238206511119045596337640860143760816795082880183793320469383121136596529955095378630542454246028225611853279071983484219157762835726427209878548268747277522930781596788782673795617434025048388187168412196809793019917322605390745832599958162416763457142590720000,-2279398653410159275332562669254164612816149501845218265448748892455107746368987287745882509076320111507416956788695659235237029268025609217829880671434756672122437743571314211492175220705523507915239329258296323515360813543874156400060570172336297591335928918926374606605060623183519746514220023728598011590461929738161419529003370630572766599498875861270330022789579528780160537319704289258106388010271177557065174827039816603189803852234992203593106167622423749466052024556951797559801827691558372632517478469645294538601718146622530493537023796672726166009495173554393543573728714778248694055130689029931833430426437363668476912062320444829938165019798214230034791528577932042914129020673162574155287671095280992399159227883422605760271083098167501164839512949243808313365931099111815476514728770570295060578985732063493078905862925393359322140141517049453832813453874072576
88,571.474655192861,2943,-5655217705207671129826049614167814116541476872347873849875886145747996539408146010797395286963398184034053096941364386056643927656966724237987372992338738768930529657420522544963724348661247759688364683284711326434964084453354358575111828284937079762353543864697344464165738270083611308630277497101814725260655878864306550273975420319048199854039007114213622924015990158754494932122539220347776532579583256455346805311457784894300860887009696317186183078958199448091872567556205642173370742552128809945792511866018733967641668548869821117446922622362141912516865770419319941759651573145241223307957047009637723139005740656460330856809664862629100666776880945187060504894522917556514039235012210155081953971758576202804560483535460522151878474246641460164669359532239332785213415235337091998238687292935956003779287941723982297415497514538908907232585203828275504568545963720503620204800,-5179984845552073491424027263998592381652581728594573130205316302961376545104903632699532386186462793872222720526235853133074164018933295403440711377542876066115430173403676661681548921177708521187951083332483348145434162534437299347700462996625157090223602065743714138353990029715052214989504883688873559448915480537690751076761875287648334852828637602151003489813104845593588867699690599139416658460206287798671766270565745975804082741896690278939685193785670235040594676766239947439307889344353950184067424883963733319698946931824188228177607123885033767164451466050178113785357974062292872211951396751912473537271250249887134921151779125303390065851702254770223665274580331652493742612642754571580674427074548448135492616238355797635426334855319105294691196593273046997202771912687237757603559976106157306330259480598145613647445129786452097389218039360542117524332338889801612001664
89,577.9724030586589,2972,4212288032713772846664057961077088062394589102252997022344523553572864498321863729412648673085076031992764849030507645724081522828336657749395788419424116779246580422349828896723323215650300212173470258221117851990995414429760318165652304252062514919380129646612308260617408110142825671667109078553159560160930960765054749228537996829737956066226882389337630130783896232242427750619921133361152612639181455325292190903563805313057222589156240751522230501029723953083465129952254334944527092659804456105643703821801745134364385483954952341520644749193016614148995427325318594935653765774269711321863518783805746117210674220740218904206611691305198717854375742702133450935550096347332324999266176416603804341311720487163069896608169792229252261310844789557643873140495007254591230332236550805639228478386698136466792066889354290660060524046975510424114765061019349844394068914374326663971778611200,3858310910730259913759543102081743619958621622289982092747409924311851423325445962319734742832883610357885748321853463698784882730839197152647570348414827225263601934851625314640566460901748800495142872084500334013560004867396406798548377527658703400910636959821977815421042809337918308039691877701738153974786726678805949707477010121087232694751585323786667663998485987605903322819186311346432073766952398961318900026814484831152363479898479194145124675785157076447882642713271070501356946052530886125580643931214905443562617225980617430863183797314835714640800837306711275517079116962649543772596085660432259168431824055975006843121217151901124609462435119978542715286939994652838602128800742372161385180006414950375923434183156499307172752488474562441687915282546605785009295876739397069007812577248520969717912229754860917627058237693197531901856355996224527913107882401909082985797272128512
90,584.4701510327174,2997,123655670238668433843653660941904653074518506042067605333051960914403628310110708238997468916422159458591038391352299066844404656392116113923847861880603632115846559925961567816360999985262171477503752332673700143597416991355888294798599211240258441087107898059645942172621629404251842777087936595636533268959054187216011242741507767621337866898512489361687893500468828789390112542289458688591691757982536033484900537686487503875230859206879052680493559059970834788867520058708789022397905076108251632865016352882906866521692744273252442829891206916600437274507028659267298663570123433216758394659348444976540156532387929664636787336759989555782653529606325804111068463922211404615991113749058850273170498108596044893056679439313597966260243409196534793802362305401418175097018728793641403335207568248970954453629985597385502912960901534182059232335648790313573387118136750904797557720661336987404738560,113264339463544189860265597668642358144435915995045331267377348911366970233012776519201208679624544691716064511553528654961056432860193064278245767682974645465214422058713445480401747898219162802589677601005464465635670515940790848306204905823688611323121163906056202635098581500975385473328163595588375278066419513770108660958433303430790241284056835240878356369699786025407361258851871526105268663092250541023821229349837658244841623516491736279787876252720231472905827427632597626029209038551562223291959548222902756645023768165957027981346077194432118465899895287525245488876283154317329532339557716611617175761530772923405833110514757947773179427528539934481802436387070179483846430980557716633287381642148173022056867352727437968367533063753850908110917745556339681181275698277316729578928067400362601991145737483878663230651442610082786955025394569423971707884873539053640629154972132346453995520
91,590.9678991114686,3034,10784665369028044917546493339795971999411253179355734555678406224616521822541394518269729098096219232555133318274644276175151571104548312217892891051876331680565203199116836663561531471997993654542300774177225737802637567146037587661290896879497991610406748491322247528784982043430069849506842269100979173302953379471047807850177878832160471778742008176745980019792832770303640132965744320652606485993748173044168167516110715286721042603419912779401337419475498585258446226261638089752354095659678574489041036024245300149207878786095132593807718053134460750649092363699314500299368357769753237076753428219952915682596697777392050726596161002672761178918185684797671132732750756616594658998286046678809174970729777003451397501214723023103911213974927056390448912679416126917150211944590669250548495064514459199692528396767489069147133454676689019769834276765136684258273145317280845937071869217924417603283511521280,9878382422744250139951797058785095744776654594903553171626013726322753593903829719190057182767649441401784097968548472348146190703504846508446509352399500616640751680701979525851251402369311649267793681071341660914561919389837592999987116048189579553331678259149986328233082674479196757422019901800006531624960179193419854630839148634354360766397672987644424240216300807694030851130822512269452974747082701897659157239406110970502228230156499264331587299887465655475311117173730929283715219845491092171886298568588931844775807397107684864661127025034155193844476558553734879222128087060792516159928969531451806086310552230413062372795604385422295062183713647312441145986507325053467963194200599402759980337658587203550297281671838902163226371748409899965141141932577896311043486172638393819431404127601323062675245918100675467677676475070447182853709054485613236713639495592541081525846799510259994736588666095616
92,597.4656472914996,3068,331941909354781719287645242906952417137622777907626099873034066634075137444180641510178037375103536788613320253969678448018615551495277071159984338814817141275258076120425962704410794822833650436369270053365153337638578117161621962761785426675520157782755520020983322873433549588817212729709196214021900870576091058240836435110977206402349680732665027746050108493798037207032081338693193439485749669320589428520929010364911947733377298823134936829134024111059842828983566018210390254362879515749274604153211170398655134593590544358426423140930349250306772723020805232524887242163790155622623837516032373843978150574083743501053245521953326837212261308803620047242245998816762603856046625898660791352566625354336303033768726213867755066549245064877918918680206343162365908941234266956817629768566939181232763728012823564732415565830488253843851111345568875463678300773363496585269798026342227642314405232322454982667590400000,304047368234473212478848128616841865669102727586339364606133014753058235182233549168812669800234321440365411345155355049991707289828774879780460183978124797967119917775972082375161773883292974571683988590470829834191524078424780980304394903017906456550596965078977709005875291634623450283602298619637587542539222450166266694681105536940420445441745598476375189907200501891644061955582652731477833051463664563810805919789448378415339974723876877568230386968857564100149379910579539385462506779306614796828260436440214824423379476163324723333476998108629556142503482030591146987616496037210521740586373058714477472897807212700438027770583517287328806625133809702665882964988803369174737154648681333690751538290001903599980221796968438846026756929519993818329501503736731252927580491019965978760781763575934419247536838106575048236519961246983218296267507213825936677028942939077550280104754725751065032131179199436165449372672
93,603.9633955695443,3099,565682988378213925966251566608564805221880887913143349667810441627825864429896501823482394866103474002956134432259266713100563824431965476905784209498677897952136951770250402193586708386427960581554428949368481348364913104954595954436654955279885102799043232236669472993372041883006719186211131769582500999191004707157669822584823846712293003796460863084047235283920559166684492273281658988796760233622173244200381469516794567549967547679465130491866501489566385378982787721206840942283211443288817262604471511309743832080989706841301416222924852136845475930378916462482878013551364057187946563290745373443268866469269263388090942062568155416303832713071057247132921319827327838076631974979616538725164871600488785179826876717710691078311347751259970044756769553691180152465867521254230837324140889906738948836487968774969687633882140544558413502438416081409377760371499723357321262816270303627375394622757557296354870955063821107200,518146154565795597390281439083972124679708821830961134598789188047373779081725253123463716434285969383932744966594448824362435112968208912656185334969882446428071394108326479576719495671261445321012643018729653974952095299043204693968584858698201966901401798175088091535102231010754889119964901361840380387628277535837324896922731117034839890085851336625475621005949326092092271178198586542138166146265405285756066537266134511599242867741098781154817480434790939059141248112419946444338594221369773305559169724426873697535475537908510596628782931301022504365950554493728578520447460697865147362134207348533642713830453498922141617709036718809435566975495462578151990114360169449176723486441121838009603891808826792264372903895559929725991102377060575156868789889363229878093861244190172278289792407760136722183845748058307698643436929032148184434133800185046239038177261347694297100429127196006252775839402393112686186379927807180800
94,610.4611439424756,3136,-101334947345026563638606158455024931757893353717365337339377332754267209967027561005386302223081725643728739940781327690685220799229552116975713276680675568063791168792576517120931265739701092279721799406095102836887768817300982216958325464618062640666890158848546737420292821886688053260911344274557736010632495666332228355791670794213111340795969037691849481088046369521023171482369940643003875706945210914630494810646388309522799928359414072297200536213289030765638038941229916858981674232686054564908287316249582905763283193349372919422883223706946980071278947069190467288257106336921453091371222052675163065734278400057747936837941780063707666115397939674072759105333487716919550889918613002565873658084165697567828416615826011894067983485183476997596453885293216725613950018278746642575508252881973920350164075020016922971145548078766073220744764511720362081383588371456434586086807300990856836764677761963789927437354944683131886181376000,-92819325255804458868110408328710148845412053991198572023764741226627738554584575803421045882041330966921711411151631325167080594999467463287758541390411662173201458803823519646981236840166780244181108444213348176892335628511016688376781779181498373539441607428949361326986052945423161317317091681233308910181830799929700583604581279542703571236677870281522152209996102267310741818771151917317241179236221189510995935094119686891896327682214843248264780150606539916304181773252284429706743234910693820146124846796070235546326670463251854681655510907833050693080960181034552294905959310098094385280090853518702527933273810304692129390407908633348195102821489110878875028959309002623447899922991360184608620204857807292457002956704324360655184416853454916474278289581036342651499294089849211024284307541647982868867408899540219069067746658209705777109940178104961644212739428264767830630040140323321492765714104475551869174506570778746342987829248
95,616.958892407298,3170,1023561420694547144242748740950128879333828084074232480737270428696703560479691850337083674498989687289148994310415872695809267945270875381716730165109485666870607637751204100401682901739188145285836072086637581329105414134241622159485618276676617732748046170495966537629598677485814021490598647487934531817405929731191148115272453461402995214681405360890246470793141057323513078711297919494041769432639826446127914179084975255438074561853203640839943263496505907922103723753743427819199651603399381727194227568700565365777848073884046277970034141977192081767271846271412898730705221250011887066252110680520566344956387987631980458951072870935175513384897507746944025496766977373177730680456932889999304254774719130039318632563940425168949194404518827174989295060453219952159848778147356166884358645261518668983955978559375919509591059188379095726378834697173018615611445224893876715336531458874003890573733887793609162757804950518395109051861475488972800,937547044883359314360691342790006775870565474023843854749389287343153899542574011117518543377424928150237077134799229924682307846073046521277859453130434466018048481334400054745231950454596946097669035050803305268814325538018976610109837796039534432187973180928954889013546173747733790596086869125225256285342026837697443782359688159654547810411054736531784524228781071450086009696447005686906214265161986815905392431513314873811662027837956879524993570575242265254264009133482845987845530734193645743251941470581827260635779846207304984953389268173773341940646307873733466865774200233481327534499637105761806180257802122581348295981725728334342901262611921187681249747481653898533855380744281618953250795407920005243624365666495935628304351667152340571340815307862351771597335220068526755474484023506153339456588869809355849699750337059978991834978850031061206030330849393207031754086519935597673054847224284878606703644447239195652355092820420021936128
96,623.4566409611406,3199,898801469161180617015777496601695613943063254406266155164812678790820476154236282717743822687676645223778953244205983959304909530805551647134097734687123670862336465257882801439186053536050745070789530959698131153871020214628301371298743735714457175215784642633412497333184217976313017848438397916329555556455558201527771780414160056245830169564354523373167818801478976296609724354429482258578528311857939747121938162722636591086125084698375414058818908447968790446205604529563830984926850565362921843311943454903397641925913147552892811824663023420921073857118378037075789326710893414241642603074317641164357455261730089409367051917652019920890345630390138666905839970246935922332713451429646475839498447479996110581669264737548624701835297388326626714709119886032680727595433778555387141608541806249466922527189888760506660752449321032540447906869481030547576092049545220415865555593612613619592433765112938399980641391982795947040843778135752961495597603790720,823271221747578196700518166673824734503567035891276436037077083102068287515856060159101787769084114268131352446466985375715784259283738007391037408356314692232840348623138779459913015771242539667948975632131366544991737276174966802686472795334719799946073161847580853158497197343104157961258080952648620303754853591379766408976985838297756868464740196722732392321324523938459595555838720588744585030512428161604012034280895685397810133843826829851127881140388275021988184340051342050076745387599145350629131766104517212656296463047953884873847103164385448995175616661121608798884069925217289819279579401837552943930001710254956141472352792556136718388106571153311914703554345381896133884696331274805585368336799263886772719034462224104155154034883129433852237836335785188277234812973462073115251618209946939400805665601909157375962427514997530360963088309371421613032958946814708181984895374496796545704522433580593754453417170254093779459894894018916467410729280
97,629.954389601251,3235,63229691971032877215161004487854005270302368509962231249532409142191120924813005112866401577349482738394444770056081612114994249378424491693755346644918996056912603698337724741643841785718830410325366246655228953855304644800946997922853477940391064305208337609329442622413926944660565720487589191959392195839755920997862458301922301346120178037436573405836056181570324434527995277848923398002059515099594671692257965363455998858748329096188140628408553739152592201953921710691085314564238277805834766619651413668673062713706901252911246911436347388908594112419298550025621657497521544710068703397514145242823833785257714198459013777209147527173627215512613163823345821078837319078842307096095306278812776792389128009175974707083461312543146469621852185713118883204111427086093449189936658711234629270835699579456821432297485634797515708149466104487140248462569754794245108497209316666744182290236455228647523768259198219589501316715145527405411301211512352513499576936960000,57916222375889663905226433743750977432852892208843985562422477005856832981241392819012988437226458998025124175428950527082116645615941961458306918756144808012870084043540309663124789530367929694812149709912299127201860399379433747581511335951971247085453126909186090449427506819118203326570707098382908495120522021320641816312000260266466867593685049100324431239804377026778950838691815304541687625746103772312121325251199744635336706146581751137043651891154190897681255164939330496872857106523328076432022255094151217638442864826742501824681007249334707890300433794865713844924333986614107563615414721381726201659403694607746058958337779949775994940366078953949438150982193667991236106812879072679207158760366601090793765745950071103352125175611028282607180495684553637609829089975922457868820401991706426606206422683738725271792747019546114770435855014043968476319533641817634085599271488173127196136864891192317356306159888536782587472176423421633776589778625327596361728
98,636.4521383249893,3273,13953917298402039310751625096150022035708735914237244995130111716756018384584509207726320718885699428344170083518714250558682888837500768632632070097709713120254923937418332859761501794609374122705684550928882206793239892236765641221719824813835524203512179399224099432858427848936112066851872303908636148572413611640524223637520076661957260675765053781692435278041492005373282525754355473139371289050930882273280583932752582994653951594240946366788628970934467060321878080537622306366957378448851370536241921373871548609837868644382000737310972516754229464968604165165958505863034266085509618816488357520368471477988925214930072062686822007105328651040554490104121859661418575955459984263709614031040708585574507783626258553471085088002859048824846141953946673273184431670103777639906545934637509528596561111584316204762217942489379644120105419709707773772838846815506054533478381698514084412001785300356677531029199516506731439552769106407338953252853212075966133200568165059648962560,12781308149330598667860166279871592659459811601806734244719634065595722182101068686690311057686792603180784263684558365632913342631768121671154670286681466345807627262145869796892255874283380223766368456877400168127346145378423114063196755220935621944923752333327795456736261054951734539082226269316616505968010021922959594838288354253620243987991661571982927588789807897455728645764968718226807856444357406137587315008288351934104663256178440301702963025053211636850651123355194068717263556029948435390282752466831341234297622707037930362715087083444581225410521702727559528368463255144914714726621293595688272290152021654287707789041269119421015319648559843230425036378849679263426284103988275840322601766045596473222389945021428100134779273734311832233538414485381116350109698324318986948772828757179239800986091497564830613061305768736962825410510618253766889861063519267880544708809136324897754573470897923076860010270172646328205965897987513475556592311512591822036584203384152064
