n,digits_correct,V_n_bit_length,time_s,V_n,U_n
35,227.09441647722127,1465,15.46,831006772406037244472419716413749108943923747532367921154812108848015692881117340529049813372383045667288435877255032593667332053600022178040463360604678332270755617071027575428287551864455055997999655081502376155601426553248507323227910180809885787889829012776478946519632444723830716182104725839784366288207413649025050042883826562962687976266281039269629041407081372435576521939406464776511346096809042949791622464808031794593792000000000,761173612052188915528806133386933048050385937938670587800031734213455188287523073524630314469430986811933755564330433430641191453246252906462317342044826920655559245311039577805513856331532880323658999742212255927091214927617008889364239421909913534011361730609559846250028132602341268359503151493070448872045389707949717127586587383688231377409303601387695472524195675982052019768819683457254274178574866897480588784362854527766746890240000
36,233.5921389536191,1506,16.08,1238865437590780055329969346092839975758301707780231543256358423742790008837588029533897038136415658288163464130934196027373293528936942954675999216617265144257959812639289626416545660113246825835944926458709133864168830555989417377063949258723361709619045177252994177256711473644789348485013141118330560469180512701945853044592607166796958126426397793843033925073488610266339638921933144792039520065514802679169312852058297108845842115428551884800000000,1134758116648459294938696660003645149456203288488272091582685453743845025965474557525077834923471895693703742651227850582335315805244944366189298282168795767429603735107014331457919965894586253088905929002939060887978364393572598052770784883402419904766866200465045887266110854615744747513099723306328330564389274620137530095995822690047559999815225983456495414651913467529166272754222816988010626649151420973077335338589887717360255100404948941248921600
37,240.0898630645824,1531,15.99,41515825422198215347567340878603972626504675138547593770922348125906875024078011573239010048978900665401997422454770578456883058978589314784703821900512054147863475023123125358433582311209896245405032304067779181366031875645276464154938060431503023566158236067306777280926275971416665803037435238501457527519042670662996529801284656916832131580010772764277204661856343274960472004074613329638973867142606437384856917292664135090645720071400798606458880000000000,38027067700601482797075272694895988606108541208432325824275090549063061397501331716978952535273912672400491158033938369828268224525124926112068177121477705336652705673692844453924842939642998023002422930346643965737844476893773960156944420546232042073326704871609964304952667538090044639062852665764837777912902940663559079970191257496932385227216306169671696179869728814685807556325261990242323340500290464667668684973656430797077692881986565392667676508160000
38,246.58758868116328,1587,15.9,3567645385564971440538671315706289191923504964139632139174357726363538730864518986759949466834398879745483125744859461907921783678320313985198552787016123512481534295833877136820661578948119973613471190317530529300943488808429125202023730806478652174262547179057891815312351008896577332762949236307165610425116726529339085627811149471256499291027156905688286181686037197230336452903271719518778361042541483640470914065489019134164964314922023108116355679815394173875650560000000,3267840425402632692419965186941215295534762520322587680528348144298261483040380031447723979987860147692540823773402873167558858535792861403003827328760782279042500770682642662135462938833329567942914543693764389693361288417234500403289894472856380288479234949837691781021709936053230863764379802077713725108316038862699186968761109752343842584275059238907613314755939298916687803740070102405221648042085094176640353178287629652137671638285976645299203322790347779430776716656640
39,253.0853156876296,1643,16.29,340856522307977638036272315495572325379166705596902511024468109102843283643244098614626994539582787987302886227681472122225425630796215504384567805121509057558489799847282627536272234899878208435933768643891012616332164288672323177187681422151494891819749474531343969196446055074447067407649303915210020590852213475860005403794598280544014684369570215440566455825830502286791077397578648867897572547106977302005993016611508594194772954916738337143662481501961848336357583734651883696947200000000,312212846985007245320968452869116198133677538373919876974051917320178408368407943768784666009575732115687585811667619952425744753041512501325896125368297212001408809008522563905754013416098849154878835223088414085002660556564070403812506244489036636963649244267300229468819174526545386011793284489708872443343926406569062037954539148057680894409813340219877943556544942573266871170663890511698056902118260021327763800108301597944601565864137382925745038662306696566681706377389480032420547788800
40,259.583043979814,1684,16.07,653822524571726995748726861811752959302869840746869764081240618985214998150684819561345425336916892861394898224739744869504559882118069326078040670886172803110810268423615090103387959286563489105930939288090940735457589745782526753360866461660133985827011743371502022540568680777392319911842549431271756307639502706232197300745796750957683877735294398543261791762005448721384021870204082791827827982470652036509857343951134866888810100611032607322972868992651046294825732333561179489997945206236119040000000,598878937205791297091933837742238149696893626519111901494366319529577040463761586612001066339980761703674697721683256908286750535801606313780963579966244197351305924829241357102500726037358258652790915232921513177901092128314426749978173206978468404468129555324388237555696523811200252049155952556824310316859688715886519108251384784328474465559280129758762064664832190422791302072242029025829177800868287187968508298168538772850917382191979718920910587125037727512675136406066474220017400413498361784565760
41,266.080773463705,1728,16.08,11484185518351575995917188899041208847495014934093642080809543761027035254302893187707335519989323873355138013100688026739782954822221645672176782172822289521888797664146597258615152091198830789611003271878872597906847186571454995984558641299702687875976870368648537560281155906287583415428222945271452479873138642129232356164364341557689331316147121169501578297790783621823430322441326749118342505941244845142723117481707153974658215795632486538533616263445806898392627762657517954994668468399059811888454324715520000000,10519118811958315254203037121852154770039570294614871637837226957835344401251246600558322032779852923746731983968653499565588811633571757464096250863177338908509229321729479790486788527108559378857158955976545253299601002448977179055617869783572382593622621017818721280648316059289908955156965865698292463899714354902782917160693288793893489622405503261397361163037784685409272002030352619320637919694084684468141543801413528323213924556456220195031993709842022821256218499892694736617268114705781943134284146240735150080
42,272.5785040542382,1769,16.1,24325936000830667447777713605321414776102503339004871848930881065422504043574761061249837850534550704310665118320482609962704671547693620432301409840786335973098870470110262713464255193395012368162384882029082856827674768173779097530206803392438139060682421080020586211042752678216485909548735839275842477762232041271180226695681238030198895321812476205039190447135133924361566061879260992873325100267449466908464927455898258611209793365758767017582730934109856555558895284006600096254745191978547796665366733946653673390080000000000,22281720422917865220568709099013419158897710277423328312815236449396878638991570922485227498726193904650756982671336105408297536468624410484984613052114905736154671899359116856900960561970840662010133586057502846831507132130682996175922922890424683201325418354405273565684807108669490411253702834478904176184861603914287179106297298969123630380602918197144176378295578100536115771190026288536280408408820683363958931449943185505512106714570505929404321021905213076060095820052435153424695948213990805100592613387060298832297328640000
43,279.076235674257,1812,16.03,216204017218603004820291655321568413707551511489840943804578640208551088436961938901088531212860891375672532164055564883250130907938633729280251937860491188794945877833473268242188374750328134224817467967378818129791315733780353540105376754204828404135723761466714121233428243111558666287665541826695835037686656910292884241781328687584534229217442147960439703015661697799794450730486395072636156775837504012403179979213128764228598864490267195315456320433976538483300303370573499409205651454181687943654354172956586028071589507847524188160000000,198035441095139392142732672792793432816395930664847926655840083122828236312368136835707176198843276005857660591166772717991187894627046017312944398428679172548799632331076001712738347920358949732170564046105879431247384060902428144871969410964818665257434637448916866865145225923413922957117195300792730868146554305075598996484952647157794473970555693713053213050875988892900567930177355710374179461123712476984257483099391062838253035730482552850872657725443633960558668454936181745893922969643487826708502974036063123424145792021097319843758080
44,285.5739682536146,1853,16.47,503359132752877187354376978668343411310807760949495471076213313582835401653178892619083714882023795671018288054894427609067029560136119839004807947674900123138849819993091296328806726856224305769615235174168046121431367245095612197740192959803998191879996897387843609095232302656768842308211936879550954622123756294803091957873803294728299278056398347280182317670818541449342467031934048592918557859333122270652180147073235604654787077962880767546025543767463542599928295127729871324806735352910706474840414682877115300500114529073636229785128330854400000000,461059647116518817849305509246411291267393930658469470605256534404621207049962289858104315877599802423691772418084980774921611373323658406238985795374565661716366835623588840661791606326875709022995789220810842731695070055208256468998601497877977079986763426938789722696721769325261903201590437872935742600510382024862972631317102555731144449103473988318960074523775764706484277644922321941035521478726323853185124988967806609958738867024541120217747455427692216038151377692654181489555564908927324557758695472752013231035916657928075943249715329543385907200
