n,v2_cross,log2_abs_cross,log2_odd_part,log2_S,log2_lattice_index,log2_common_gcd_gain,csv_index_field,csv_index_matches
80,1963,4911.374671184786,2948.374671184786,1393.8015355206169,1369.1468994920888,24.654636028527968,,
81,1986,4937.962872239453,2951.9628722394527,1393.8015355206169,1363.3271324340421,30.47440308657465,,
82,2010,5036.020941144452,3026.0209411444516,1429.536249873411,1407.0284552332123,22.507794640198696,,
83,2035,5062.6100098502175,3027.6100098502175,1429.536249873411,1409.8358101552699,19.70043971814109,,
84,2058,5160.948739186473,3102.948739186473,1465.4108710636965,1442.9030764234979,22.507794640198696,,
85,2081,5223.504721883831,3142.5047218838313,1483.3939147558478,1457.6676965965157,25.7262181593322,,
86,2116,5255.09501600858,3139.09501600858,1485.3939147558478,1467.3939147558478,18.0,,
87,2140,5317.7862579793045,3177.7862579793045,1503.4441938804048,1485.4441938804048,18.0,,
88,2163,5380.49999094366,3217.49999094366,1521.5055281528987,1500.0460965342616,21.459431618637296,,
89,2186,5425.185675287378,3239.1856752873778,1530.5526520650128,1503.4785106022603,27.074141462752504,,
90,2210,5451.777475597357,3241.7774755973564,1530.5526520650128,1503.8145598053923,26.73809225962049,,
91,2236,5514.68757079878,3278.68757079878,1548.7116216326665,1527.904266710609,20.807354922057606,,
92,2259,5577.661662941108,3318.6616629411083,1566.9024156782516,1546.095060756194,20.807354922057606,,
93,2282,5640.740641527449,3358.7406415274486,1585.1454827129317,1558.980575786256,26.164906926675688,,
94,2307,5703.881783680464,3396.8817836804633,1603.419464937092,1582.6121100150344,20.807354922057606,,
95,2331,5767.084426894897,3436.0844268948963,1621.7240346217052,1598.10932477759,23.614709844115207,,
96,2354,5830.307637796111,3476.3076377961106,1640.038728492431,1612.9645870296783,27.074141462752504,,
97,2377,5893.591483691133,3516.591483691134,1658.3835835097218,1629.2678895575248,29.115693952197013,,
98,2401,5956.974792614198,3555.9747926141977,1676.778016895942,1654.6905540546916,22.08746284125034,,
