k,n,h11ok,h22ok,okY,okX,lcmok,logh11,logh22,logmY,logmX,v2h11,logoddh11,logmZ,v2mZ,logg0,v2gMODY,logh12
22.4,42,1,1,1,1,1,26.87852,0.16504,26.87852,15.15022,919,11.71180,2.65770,0,0.41259,35,26.86995
23.0,42,1,1,1,1,1,27.30762,0.16504,27.30762,15.57931,945,11.71180,2.65770,0,0.41259,35,27.29770
23.9,42,1,1,1,1,1,27.91825,0.16504,27.91825,16.18994,982,11.71180,2.65770,0,0.41259,35,27.89089
22.4,43,1,1,1,1,1,26.90030,0.09672,26.90030,15.28148,949,11.60271,2.45561,0,0.48170,30,26.88824
23.0,43,1,1,1,1,1,27.31942,0.09672,27.31942,15.70059,975,11.60271,2.45561,0,0.48170,30,27.30539
23.9,43,1,1,1,1,1,27.93196,0.09672,27.93196,16.31314,1013,11.60271,2.45561,0,0.48170,30,27.90710
22.4,44,1,1,1,1,1,26.78707,0.30466,26.78707,15.28074,971,11.49057,2.40908,0,0.36233,30,26.76599
23.0,44,1,1,1,1,1,27.21241,0.30466,27.21241,15.70608,998,11.49057,2.40908,0,0.36233,30,27.19868
23.9,44,1,1,1,1,1,27.82679,0.30466,27.82679,16.32047,1037,11.49057,2.40908,0,0.36233,30,27.76286
22.4,45,1,1,1,1,1,26.92319,0.12323,26.92319,15.23383,990,11.67395,2.37974,0,0.40049,34,26.90890
23.0,45,1,1,1,1,1,27.33907,0.12323,27.33907,15.64972,1017,11.67395,2.37974,0,0.40049,34,27.33844
23.9,45,1,1,1,1,1,27.95521,0.12323,27.95521,16.26585,1057,11.67395,2.37974,0,0.40049,34,27.93596
22.4,46,1,1,1,1,1,26.74400,0.17364,26.74400,15.26431,1014,11.46463,2.39236,0,0.50765,32,26.72674
23.0,46,1,1,1,1,1,27.16592,0.17364,27.16592,15.68622,1042,11.46463,2.39236,0,0.50765,32,27.14766
23.9,46,1,1,1,1,1,27.78373,0.17364,27.78373,16.30403,1083,11.46463,2.39236,0,0.50765,32,27.77573
22.4,47,1,1,1,1,1,26.86062,0.28499,26.86062,15.23449,1034,11.61138,2.50006,0,0.49987,34,26.82426
23.0,47,1,1,1,1,1,27.28830,0.28499,27.28830,15.66218,1063,11.61138,2.50006,0,0.49987,34,27.24381
23.9,47,1,1,1,1,1,27.90771,0.28499,27.90771,16.28158,1105,11.61138,2.50006,0,0.49987,34,27.90286
22.4,48,1,1,1,1,1,27.03845,0.23080,27.03845,15.30700,1061,11.71701,2.35721,0,0.36765,30,27.03391
23.0,48,1,1,1,1,1,27.45722,0.23080,27.45722,15.72578,1090,11.71701,2.35721,0,0.36765,30,27.43077
23.9,48,1,1,1,1,1,28.07817,0.23080,28.07817,16.34672,1133,11.71701,2.35721,0,0.36765,30,28.07342
22.4,49,1,1,1,1,1,27.01867,0.12731,27.01867,15.24924,1079,11.75529,2.56167,0,0.58559,34,27.00570
23.0,49,1,1,1,1,1,27.44305,0.12731,27.44305,15.67361,1109,11.75529,2.56167,0,0.58559,34,27.43975
23.9,49,1,1,1,1,1,28.06546,0.12731,28.06546,16.29603,1153,11.75529,2.56167,0,0.58559,34,28.02072
22.4,50,1,1,1,1,1,26.96556,0.18366,26.96556,15.26310,1102,11.68860,2.74320,0,0.34657,34,26.94777
23.0,50,1,1,1,1,1,27.38145,0.18366,27.38145,15.67899,1132,11.68860,2.74320,0,0.34657,34,27.37940
23.9,50,1,1,1,1,1,28.00528,0.18366,28.00528,16.30282,1177,11.68860,2.74320,0,0.34657,34,27.98167
22.4,51,1,1,1,1,1,26.79356,0.10873,26.79356,15.26283,1124,11.51714,2.37476,0,0.35337,34,26.78636
23.0,51,1,1,1,1,1,27.21489,0.10873,27.21489,15.68415,1155,11.51714,2.37476,0,0.35337,34,27.15683
23.9,51,1,1,1,1,1,27.82649,0.10873,27.82649,16.29575,1200,11.51714,2.37476,0,0.35337,34,27.81900
22.4,52,1,1,1,1,1,26.82021,0.11997,26.82021,15.26257,1146,11.54431,2.50409,0,0.52561,34,26.81092
23.0,52,1,1,1,1,1,27.24676,0.11997,27.24676,15.68912,1178,11.54431,2.50409,0,0.52561,34,27.24546
23.9,52,1,1,1,1,1,27.85993,0.11997,27.85993,16.30229,1224,11.54431,2.50409,0,0.52561,34,27.78588
22.4,53,1,1,1,1,1,27.18555,0.13078,27.18555,15.22308,1165,11.94939,2.75413,0,0.36619,38,27.12455
23.0,53,1,1,1,1,1,27.60406,0.13078,27.60406,15.64159,1197,11.94939,2.75413,0,0.36619,38,27.59541
23.9,53,1,1,1,1,1,28.21873,0.13078,28.21873,16.25626,1244,11.94939,2.75413,0,0.36619,38,28.20252
22.4,54,1,1,1,1,1,27.00549,0.08985,27.00549,15.30058,1193,11.69207,2.67674,0,0.35694,32,26.98434
23.0,54,1,1,1,1,1,27.42908,0.08985,27.42908,15.72417,1226,11.69207,2.67674,0,0.35694,32,27.40012
23.9,54,1,1,1,1,1,28.04521,0.08985,28.04521,16.34030,1274,11.69207,2.67674,0,0.35694,32,28.03671
22.4,55,1,1,1,1,1,26.81452,0.08822,26.81452,15.28705,1214,11.51487,2.15929,0,0.34027,34,26.81318
