xi2: 2-adic precision (bits) = 4931
xi2 valuation = -1
xi2 mod 2^40  = 638147118555/2
xi2 mod 2^80  = 2221961521540699540440539/2
Zudilin tail v_2(xi2 - P_m/Q_m) vs 8m-1-4s_2(m):
  m=40  v_2=311  8m-1-4s_2(m)=311  match=1
  m=80  v_2=631  8m-1-4s_2(m)=631  match=1
  m=120  v_2=943  8m-1-4s_2(m)=943  match=1
  m=160  v_2=1271  8m-1-4s_2(m)=1271  match=1
  m=200  v_2=1587  8m-1-4s_2(m)=1587  match=1
  m=240  v_2=1903  8m-1-4s_2(m)=1903  match=1

k,n,v2ZudForm,v2NestForm,v2Nesttail,v2mixed,v2MOD,logq,archrate,v2qxip,d2,dinf,dad,incone
23.9,44,1078,1245,613,1102,1067,14.14608,-0.77176,11,0.01225,0.05456,0.06681,1
22.4,45,1098,1270,624,1125,1024,14.66036,-0.28326,76,0.07985,0.01932,0.09917,1
23.0,45,1098,1270,624,1125,1051,14.43299,-0.48504,49,0.05229,0.03361,0.08590,1
23.9,45,1098,1270,624,1125,1091,14.11281,-0.79582,8,0.00873,0.05639,0.06512,1
22.4,46,1124,1299,639,1150,1046,14.52575,-0.31195,78,0.08091,0.02148,0.10239,0
23.0,46,1124,1299,639,1150,1074,14.39481,-0.54698,51,0.05339,0.03800,0.09138,1
23.9,46,1124,1299,639,1150,1115,14.09243,-0.85154,9,0.00962,0.06043,0.07005,0
22.4,47,1146,1325,651,1174,1068,14.70873,-0.21628,80,0.08021,0.01470,0.09492,1
23.0,47,1146,1325,651,1174,1097,14.48167,-0.43780,49,0.04990,0.03023,0.08013,1
23.9,47,1146,1325,651,1174,1139,14.20489,-0.73904,9,0.00934,0.05203,0.06137,0
22.4,48,1174,1358,670,1197,1091,14.73845,-0.18479,83,0.08132,0.01254,0.09386,1
23.0,48,1174,1358,670,1197,1120,14.55967,-0.36781,54,0.05356,0.02526,0.07882,0
23.9,48,1174,1358,670,1197,1163,14.25067,-0.68236,12,0.01216,0.04788,0.06004,1
22.4,49,1194,1383,681,1220,1113,14.66698,-0.23632,81,0.07812,0.01611,0.09423,1
23.0,49,1194,1383,681,1220,1143,14.50457,-0.43406,51,0.04974,0.02993,0.07966,1
23.9,49,1194,1383,681,1220,1187,14.16006,-0.71946,9,0.00899,0.05081,0.05980,0
22.4,50,1218,1411,695,1244,1136,14.72272,-0.22194,83,0.07815,0.01507,0.09323,0
23.0,50,1218,1411,695,1244,1166,14.48979,-0.42994,52,0.04975,0.02967,0.07942,0
23.9,50,1218,1411,695,1244,1211,14.16185,-0.75699,8,0.00783,0.05345,0.06128,1
22.4,51,1242,1438,708,1269,1158,14.59911,-0.34724,85,0.07913,0.02379,0.10292,0
23.0,51,1242,1438,708,1269,1189,14.37480,-0.55494,54,0.05106,0.03860,0.08966,1
23.9,51,1242,1438,708,1269,1234,14.07178,-0.85485,8,0.00773,0.06075,0.06848,0
22.4,52,1266,1467,723,1292,1180,14.63335,-0.30982,86,0.07834,0.02117,0.09951,0
23.0,52,1266,1467,723,1292,1212,14.40800,-0.53424,54,0.04996,0.03708,0.08704,1
23.9,52,1266,1467,723,1292,1258,14.08584,-0.84961,9,0.00852,0.06032,0.06883,1
22.4,53,1286,1492,734,1315,1203,14.78030,-0.14117,83,0.07344,0.00955,0.08299,1
23.0,53,1286,1492,734,1315,1235,14.55816,-0.34963,51,0.04582,0.02402,0.06983,0
