k,n,idx,len,parity,logt,logtlo,logthi,marglo,marghi,marg,dstar,logh11,logh22,pqnext,pqat
23.9,46,505,988,1,107.919913,106.335985,117.993971,0.791964,5.037029,0.791964,288.2296,27.78373,0.17364,17,1
22.4,47,496,929,0,110.507029,109.990129,113.111820,0.258450,1.302396,0.258450,294.9856,26.86062,0.28499,2,7
23.0,47,490,974,0,110.507029,108.711424,115.972333,0.897802,2.732652,0.897802,294.4448,27.28830,0.28499,5,1
23.9,47,515,974,1,110.507029,109.781089,112.437042,0.362970,0.965007,0.362970,294.8381,27.90771,0.28499,2,5
22.4,48,486,985,0,113.094145,108.331249,120.666651,2.381448,3.786253,2.381448,300.2907,27.03845,0.23080,20,2
23.0,48,527,1050,1,113.094145,110.352610,114.431365,1.370767,0.668610,0.668610,300.8424,27.45722,0.23080,1,1
23.9,48,508,1055,0,113.094145,111.783351,113.809172,0.655397,0.357514,0.357514,301.1143,28.07817,0.23080,1,1
22.4,49,552,1010,0,115.681260,112.829080,126.529617,1.426090,5.424179,1.426090,306.7830,27.01867,0.12731,29,1
23.0,49,532,1021,0,115.681260,111.695506,116.492709,1.992877,0.405724,0.405724,307.3290,27.44305,0.12731,3,3
23.9,49,559,1042,1,115.681260,95.544834,121.279565,10.068213,2.799153,2.799153,306.4902,28.06546,0.12731,583,1
22.4,50,541,1034,1,118.268376,116.740694,120.056337,0.763841,0.893981,0.763841,313.3238,26.96556,0.18366,2,2
23.0,50,567,1067,1,118.268376,116.307883,119.706289,0.980246,0.718956,0.718956,313.3501,27.38145,0.18366,1,1
23.9,50,562,1054,0,118.268376,115.957415,125.152259,1.155480,3.441942,1.155480,313.1441,28.00528,0.18366,9,2
22.4,51,529,1034,1,120.855491,120.621228,126.052264,0.117132,2.598386,0.117132,320.4078,26.79356,0.10873,3,1
23.0,51,594,1085,0,120.855491,120.020469,122.965169,0.417511,1.054839,0.417511,319.8558,27.21489,0.10873,2,3
23.9,51,559,1104,1,120.855491,112.771519,121.737404,4.041986,0.440956,0.440956,319.8320,27.82649,0.10873,8,1
22.4,52,555,1091,1,123.442607,121.018213,138.091793,1.212197,7.324593,1.212197,325.6625,26.82021,0.11997,69,10
23.0,52,566,1100,0,123.442607,118.202834,123.513406,2.619886,0.035400,0.035400,327.1970,27.24676,0.11997,3,5
23.9,52,566,1115,0,123.442607,119.052534,126.854818,2.195036,1.706105,1.706105,325.5140,27.85993,0.11997,6,13
22.4,53,564,1071,0,126.029722,125.780287,130.612380,0.124718,2.291329,0.124718,332.9197,27.18555,0.13078,3,3
23.0,53,595,1103,1,126.029722,123.948638,126.330717,1.040542,0.150498,0.150498,332.8381,27.60406,0.13078,1,5
23.9,53,612,1130,0,126.029722,117.838172,130.431340,4.095775,2.200809,2.200809,331.6731,28.21873,0.13078,21,1
22.4,54,629,1149,1,128.616837,126.496031,137.135256,1.060403,4.259210,1.060403,338.2598,27.00549,0.08985,12,1
23.0,54,572,1109,0,128.616837,124.040572,151.718004,2.288132,11.550584,2.288132,337.9258,27.42908,0.08985,979,2
23.9,54,628,1148,0,128.616837,102.029023,132.072321,13.293907,1.727742,1.727742,338.0478,28.04521,0.08985,1787,1
22.4,55,605,1167,1,131.203952,124.813883,132.522858,3.195034,0.659453,0.659453,344.7357,26.81452,0.08822,5,1
23.0,55,595,1163,1,131.203952,130.247861,139.423303,0.478046,4.109675,0.478046,344.8754,27.23041,0.08822,9,2
23.9,55,624,1189,0,131.203952,128.272325,132.872351,1.465813,0.834199,0.834199,344.6336,27.84794,0.08822,2,2
22.4,56,604,1129,0,133.791067,128.198127,139.589192,2.796470,2.899063,2.796470,350.3779,26.75185,0.09902,16,9
23.0,56,612,1237,0,133.791067,115.312335,136.473303,9.239366,1.341118,1.341118,350.6971,27.17269,0.09902,196,7
23.9,56,631,1214,1,133.791067,132.212522,134.667608,0.789273,0.438270,0.438270,351.1828,27.79157,0.09902,2,381
22.4,57,624,1168,0,136.378182,132.447705,143.078330,1.965239,3.350074,1.965239,356.8007,26.65783,0.19881,12,1
23.0,57,640,1195,0,136.378182,130.327663,138.793526,3.025259,1.207672,1.207672,357.0122,27.08345,0.19881,8,4
23.9,57,653,1247,1,136.378182,119.744574,136.845462,8.316804,0.233640,0.233640,357.7256,27.70363,0.19881,66,1
22.4,58,595,1160,1,138.965297,138.252777,141.055003,0.356260,1.044853,0.356260,363.8120,26.82971,0.10756,1,1
23.0,58,613,1209,1,138.965297,138.890029,139.402362,0.037634,0.218532,0.037634,364.7882,27.24798,0.10756,1,1
23.9,58,628,1238,0,138.965297,133.751209,139.497260,2.607044,0.265982,0.265982,363.9389,27.86943,0.10756,3,1
22.4,59,671,1236,1,141.552412,132.496751,142.214703,4.527830,0.331146,0.331146,370.1134,27.05426,0.08224,9,1
23.0,59,677,1285,1,141.552412,140.975662,146.642873,0.288375,2.545230,0.288375,370.1734,27.47720,0.08224,4,3
23.9,59,722,1335,0,141.552412,138.977816,147.508230,1.287298,2.977909,1.287298,369.5237,28.09986,0.08224,7,2
22.4,60,649,1260,1,144.139526,141.482220,149.023005,1.328653,2.441739,1.328653,375.7796,26.99901,0.09242,6,2
23.0,60,663,1265,1,144.139526,137.582791,144.635953,3.278368,0.248213,0.248213,376.5082,27.41489,0.09242,4,1
23.9,60,691,1343,1,144.139526,141.231693,147.850259,1.453917,1.855366,1.453917,375.7405,28.03873,0.09242,4,1
22.4,61,612,1221,0,146.726641,142.892781,149.951353,1.916930,1.612356,1.612356,381.9652,26.89066,0.10227,4,1
23.0,61,659,1275,1,146.726641,133.176359,150.581826,6.775141,1.927593,1.927593,381.8876,27.31109,0.10227,72,1
