n,m,digits_correct,X2_bitlen,Y2_bitlen,X2,Y2
32,160,334.1055364954396,2127,2127,11356754615023192803278072321968525478037494369202794586454486413455029752839622758624895533526071358807894764399301736425223364628755901397344632825060294419103904653107884016360434712214434420424976124759372295502549450079614659153358078404002604849353442655677001125756047249308839269136105882612121691463744011920511308962945681498073248079388676642891179238395207181574570031618795350923786782165550399426758770915019292424087405985440239822975831164503867266374940000925980103528878980713155965690564100656130609539227200309000964100414091465926226268193691008441362000636946002530152662797893014511086071353261220999392665796608000000,10402396488874592986922357812523729508359882628637850382847077447970959382074220188211116323620084462502123569919150595963367828955438689464983927492252748867240317332450479808431068014948274101493468911395721440372580794678450151831483302432481299009675649607728856898907848385545270354149136252962491346267497139570432588111498667785378471852421413600558180663072803228944749895030997817449020535799725036203681202261774294965548124514409671759413199182610005719885158253668131790741782368995120041951824831784557736186602186230599290743678241429900095398589716548271214255427002038871008354346357297120244003094775760378468282012274786304
33,165,344.5549001383919,2164,2164,1937262405478164564193324289657718923250922645015931052001760501710645251486616519563495188206571441907675210596572032719188612719488814530216344531823961631613670654428787390298520271818962760505963515519003646594308783220951155697802584395511966897452009214493998286752518325423155893718474670612725521242604695396219732495454752276013321667499780739360241112427953074072133121178533257852810960224067231533031169741211945447184380862652726774203787024102944845141540864056429311447655269819532780992466754811143786461932201325763118260052304660278390795662766375214841803194873194092652193127809006554795259014909753480525281520200597955936256000000,1774465710310995594472241678570679091152469558511581485112976055675204901936992341990611401141082689914729197305994867127977816001821496200187190478060073627218193590803858690693114462019783609300245674168187440503807036440743072848229716769115767123688975649518856360088270737346489264321903900809109684590236630029636894685325516593381961721859859910295913610972918355247487288421891441121279964043442562475666044956328544793385878725599090131178001394392819114977891611530950168861072865746433109327977941608529184840563258902862015628737720425344928105540920917136835951485689995159770261506231674498096470432286309101281217400056847953083213283328
34,170,355.0042648612647,2235,2235,4115636464826732139148762637191670851296435672300967821676231076519764927509834913633298635664465413423230310005115667156901368753596601722359138775157078532473478616050385304508408334727060275821268063845220362144205982431082268022204440770119078290154699128981280035449440807612781616630459464156990710461677871586565639024094345308479069746110357600002726673870836120428171463202320752697880519978846475055318645219646587327133130512770815446298215371609681684557757763609516697586397863711442380909714263641176178124118247137369801378010105104772071150830154628400584243915800701566864484697016907239175577262734630362284785523503836151230872768943235158817898496000000,3769781399922446851533690855872492957653531397660546480404427593331420439709531053447874183992274763147996562962835742991488476679642007524706593694667342260606432107488714560346180220917998519332255365504987182641625928170537531395025108742293584040783159612819713294544425220010307483797998270055850179784550291739436749965396528005191129394614605514708601717232007659367508650059881542195042087317642743024414765225005967693017121619005859547803939663429042727421742234897144633362914959659055625942974289769490936759534023713578047167142435214566991568734903342537277850008617477237543617977148438788378116491570813918745238224468859909419495115703507220098607583592448
35,175,365.4536305715469,2312,2311,505418479054752858666225461238048696030732191778449995088824873022554327490080549081328612231664107917504123391705762285560291607102703254870009317841710437686733815535312506477875790748237206813158701476525844770588174787581908449675426743679466022157415443010892737827536248178239351317334799737982093071202379415927579932426928019419872160539765854536282143003588865861502945342973794534430811477377303230578782243409906719217785195374324479047660703486348371919329238948216183318687049199660311341827236263852253221226082879692939383365569208039636648457567116980233895733942807472708326214374078969459459185752238379830109890830351508239293566324837385802244188390474147833405908189184000000,462945937475533025759886310490265002916252772737834636903022455779370815004101218133061311116513831141626911779722224151181955157483724122521452358960949210047472455159214295347449314498018895762255534375929530216951377252701392115021488906833400594136256350749428692608578027059600104160554715123333041162830485273400626770106539479888757833916023024974803295300093858975329430893184280377572296787118134606412152370509498552585673793443667042396148731326805186500113609580626176608818738693629589027538860040879884762939010966128377320761388462499533392251798416310286020915672497523244193695805860846839338354715462867033990449317531231189673825203396639306880070849238609278306056187089518592
36,180,375.9029971870006,2383,2383,1388199758373956767265622626473328069794109079782044613329170497734435966929103441154497540464427186772213061919952952949068351301015858294319427678798178088701504223931932265254573580855238414146866704773110403678514796312200598766658404668115602103302251304277841698265960955110601565281592703148651023668800786900122740032167726342501968919327566640736047217288517840759952370664814513642480485210663457349639485664014878577401089541800037463182850880603924447162530925231668143260857918558787952635706340465886164288281985065370476409098911308499743205903567816213352686347088309685111840697429009700774951437421982957447565971389543475193393421231814204828376902094125610629144138156269932830632173589495808000000,1271543216515673178336846991020384318696324574016072052781051222823311302514814513504316880077653389521888463889711487701959872976489467945341843790930422330724260172778702114169783200657374688080283233693407365027924709610271154364289856005893234262074666268431853049008743796320252315097973872952179698392384211894569231006274722515093486682936091248954043737198902900477417273802263906626864001675275066036204188553402126404281413633764285105912637367801009287243172418396707014168286375963346337081616513065002806418286654009852523138754726375804515912979683300461631113012261721858113946772170351803254461365876199399188988360838250698989256114613479134328593638747646911274930711943370095426738603284443015675904
37,185,386.35236463427367,2446,2446,11552839493876700871792282146149688201421129684870305708296887659905728670525827051130699658712959592521676325440701427093116121252581059424472792755388410573981847604738476551943961511460769447135193103562791038151336106659643272515179845170607331939552836337611273330556055812603723659094043553136619168706578629942497286119926683056833978800763571132976281070168074508414497094312131076807256501842906013239191262775481338911877344248915128824955326229027738503975859266102347064608204891385218726270044545021607856618530129743120425518261466841371174758579698156813864241784654771368367000347191511513879359909152689593049742269791951100631924109527447698379921580033764791842021629202341730350953600529574085604503272653062144000000,10582003491442814512980288664377596821613654222268979993672115599553975885927712841497465553677733150264059555180392515085239436139336976468582043679506628614304134122799555165488165183096328424747169187302516337403023648251894232029233391334227125624872198635161802059931720126885662490780655310968051219252715221415043578284988427770242064741100367566076638258310551340940154272234003897258621999950263899899560833319099922315284783205675027520329925410230512799362940511151644495086648942749712760121076815878619449482428586960274586526292584414684955607506496013374963008237441209146409304323402946157515883250402785244280020817506242415410764065789841761115440296698363660844459470271678046033718580589438462876392061892708450435072
38,190,396.80173284773105,2517,2517,39545704443369687222828103401407007588970799255377841980180983494768956923647060046038931861334171739301623808897628022390905547545749911411880797279888064290019483436803415407827089856140276945546134070290842621147129424967561561162325107628962263467494080048624999704270339509666538353956153993076755038973906688201717473966647127605063570999804355579176742516450398330088072851640212164948779804879798205925893141353330498662919202160262179252646789820620065040702123358458491548567787041352238200493320805982471126742453872833695506017593138188723365391967138215849121764432648847401602495238486095088867929914842834469233589637616342161104812926625205539598586940361058619387149969080045821481745832750661440487430358296333293020406849989584617472000000,36222504667627805709746387805536057536925534523891565448870976766230616312424516505332469636435456675261384270136007581661081961631797520274114509348314491803980705911819763102749253896466172585604309662454372647863181123962949064952187962871309195635314132258950829599258949451984257677158904585741790082810778656183149661675804947577220224733023765741308443109648953121286293590031100387638452915304063897625836645620614568675485230950890851609713341167410045690651836411584306294028201370698933123244427997095344713195157712564926379228279404678426500499224542609578185131674427945353414201032011083800623463496854022732839736329155416267083451283495928416081250405615912729493497636686109381742504742130223346813710243151311635910682617635974219837734912
39,195,407.25110176846596,2589,2589,150456565103106107471331604289502863845014914516449908051840810683783466278860930957107083092729322598487224017210916438557939849912690653428959370542259344163337036446402665908070429398442627933179184518738462825408988401072868249984741752364273106645750850525981694876808813980373950795832337798434335489924105950125233377264782516149704335040285145554474900897888066856168228601721457892010308601812421776928038499454268349836692607578435257553396610715126750923817077040143722475369769177172143618476608385241431025766348124667398269694159602925526237662171065181277708488280785826871665745820144695813318484635358540782428005807355642207345914654300569706900194529897760428996996198339277603141773369322277515325807806957237906866863903960536661564708455292737003978752000000,137813037052530021251077385999843642743644544319037377031712184128539071637316034384981646777488975109389971320721092486520915112192999423624737774668261660295170034089420877118341270390118982495048227168301381793609262906508761506577627805768515094956666709162014846231592443772663371039751962143093905398880779254470551701217287569634600515109433624920495245769907051430024472980002988744039555959050116858970776099037384057486978756216788856652232713757912590738301469589881801361080924880158581159281116532319178698316108127166472362998435055548684180283633149176122170049074769175558431007077110261850955457864618050009932511870978171145781388074968449073853493211435169057078797537553233092712113460781083430500420311162789585776912845229576103246096547848740634587710881792
40,200,417.70047134345947,2643,2643,4067172571100816503140259863029700287714007021306371261896038971722199338951710475287702665704965784627045759347224098788755068241604688399715725942372381092893719577556123805403871205459066434123895209284118006296191477448929259175561288904044285557788627148071648836845923311448234279607218300379500147354429768059519591076561400899936952182907888878790545077489041821679762720600271801828016317891650289106822819739439019250887884893334932567185455318411319226086282932994896228497070892102629921026459608942145792307544081941480260711543922858775296864273568737543245016637406805025234961002724140190650382482097915718106473540499117394576970690986079033151287561617555288577893872415922552745085029079872702080795933042045101462937775412828538288986268529039316721014775168648181972992000000,3725390140709646939291457075355305833859585584086554419868827611068447467327538467820590167163591242394902904770357133306778563336221509535277732970068559664566271375768627522404231951300733203801239383625213061180556467647105766609087698621627549551847986464239063951943063809202804327785582204489713123404926948219779841749295908719063595886290528345545642161988838145402596659585627237853492571522774652828539622378786691046194423810238794184800232527211397324277975654802154018159672423391582599967594806321199791546293816465085177456188771561582840627930976947438573216727648545195729410495904680457445204144311903291869456260536097762250126804746645236711137712123621865254233282402651940703212084517764812496082746385007472535933092524385489318827390364455404664819274786003122011538194432
41,205,428.1498415248625,2715,2715,18775853351177239882695547420334661715261074936856417126250938338912675093411936511392230194438817015312875410786312465658591389138515919823336650681259224983613143607601676583524970568886712845236847209234502836853977749952416169814220312513236474824169785073265116763505868765124587820298967828302064251721246077772015159633095180466250880435281330714389973191886051616251301482424664066336692432545719361206766625820954182610122752262701523099366696410430888698349857213248800870258662619940122865133732066214789886601253857851138922659567014714520817240839497696138509556296253871185003051873987061137603026270477736415328245079206576632956477494809280740896542504037706570032756986816830183258708924413233485923118576588859432698773874856793106212403636898413053755671298698397478635153778029448468791033856000000,17198035670995389366139024545281287220805017154158775846372612403118172846910374117650305177001386709388679634493557698006774692481704292136846381590860195703358349638770988128627606680762849286364218915667288083118424852125965255116264525060734228161997283842038892194853762187304787665947780098737363840845308780554823908761184472819773691075133451059678094455153897280593726021295138089623077648176564727391780261154618895520132871150885574778036298238750213400734927059690004906859698131543857762992120681382796922398813666149197262401783048507517893701037810027708477430147210127391732386406541122210764422869999902757461496168128633667941048878186462756543177457745421971636472890423890123759471139981825968431596305519002424116088370320020765246188765917964076330110823354645655776445118910810406816706017099776
