n,k,digits_correct,X1_bitlen,Y1_bitlen,X1,Y1
38,304,91.42333524074012,2000,2000,73785200286265906712977699365574737710740632711776294115203895106197145392731110228837044008377744310851496748687288039693936307371151781395529481160177870345836588086582616638394229987279597023816142939210210236592514786944540453996358594877129038189742425909056611033701674395804546550019764710153112352356033760773469698456003753745705954205056312935626577918392385427436697882451247005687012061515171993667528934511597373968200393211613568748242670685338630830294508863946784146218935306724105700766622031435195511828941482887514653797936462850888306188962759493696449084161949159416609177600000000,67584704821694661804639899209517956179273344823538110186770564110381238329353407373706345626145584103364828005896254829812302734592525873201031326178255508476123072432577362992147083996544170258681502183453003141407370887635291535146329172018665864298125809794507145780124412574296767409532316113604676105060798179570661810837691275116950367061270551027488611435743123672913596517514432913000422404597254784173035153046245998863341794280336406141804994437643958995901629700259924291177994050377896591789761837674122883283796369831120942492977141101308094684995902026336026287623192502838154464749158400
39,312,93.83153868923414,2058,2058,26773477022376989718317907702882507813209785605328064299269294736193892296521410675361133686902410484997561417885017933248271847144713122969869951469896760972058425894234656616439500952821014047294791381765942131174493105116121352534985951161539766083948236096603136463671018587232165021693471383983325301488816189910945137361992074551126260020730762092059912867138223972324240626661923427592736731785640093900712270539611559010509146934706462224178236259482793417207951986408823101202224636626653357087853397717459343082868044198524524029443786570429722307803118318722720894345003441049135632951825325419560960000000000,24523583788991659906763664038836583678505211070899731097503991331028145082310661667826184253431890160087242564995413165206352097548396086847971048514280663758629044276986230407332357856258261121573419007331065604593246162323865003216424848223678514682979638110864863966801173158664058117951913030714085780376678342728056149107598705696188861835441770895411564581273870486046674686801047356066709544680355051877288639852236811920520342208478492413156199333051314894787791541863849938528158588398478264264873197205162008270913597998402197051577543832365829221484290871807451586366608675044390874222919238592005401477120000
40,320,96.23974396094388,2099,2099,69025599824545583366441155232102743280069950899996288058478076172517318094851574505087946446620845897028564937383066810745626869463549321266047499159592983661205661022012718591961747677557661910102022022415975436205258349383701987552351636923330353065768475760957488340507436164426583922913667831571244471991803226396699445409531965536255443997711982654810104581556907184929430194465176587425197199474795825403273983706528913241982472079814996236299963052270179482397686097870820437472158824383556323813026297085952481245871241971715633112861827258325983437312515341718338190996347933393366114827711593319311091148263391641600000000,63225074556728839862777973895756627521302977045589197418662554194285821604303581525234528679194145831022611986652036345434542231825750649167148395933352055073143457883991234959598324941069319183671058203504890417903659227711698468670461019205720235844247167924970904817166451396632523887974405513839694908959579636418861311945398245044193077486611349051439062342696468484321639419033700977563041919088178107702391314745851881606873060478384712125035595790944785653983526805439048820447332196949694121244025923924913670254563374325165759768941886867520280957468170690010739720025437632721848605272181706724106118495250372156129280000
41,328,98.64795092264539,2158,2158,30390754163133328028460942833187571142370371171642785972209230610791115331705119982102387386283166693354450059393057254508990662465043518456574619083706299525978766268618514412264071674135941572688144238593002384338314745622530998690159072865681515741475928604547521902787651053881445368722320628960527512137633968714993209187063787579260394364325318885673368710488822382891205798480294334047154218799081490872306548592746459460205630962328652313549391190893533851292957959027392897223756428300698804126269808881620349161634163464574471418511432267669790035203952371504259912580180033810307262866551352988376734131271609793622045142669573816320000000,27836885194528211228343156113629502026724851941265118770721234957066528345019204694622469305926122583273155618771307871188499324397635542413760165274881846754115261610167340936068520480253162037301123205710820346499834466631403444655622004248851457315648750201304676398668888856751984861316070845117343503366006322188417995828216651535206559739087734190219153581796344648381198207939974510232451961483244728865261462504033407041716343950271060854403907758714241337221680641380477015261767175343502894041844610923372876743459394304702839879656780273967862566250519216654342563989715273147415119372437078358377259969238832705508660769423321800130953216
42,336,101.05615945378628,2199,2199,87382384050606983512433090597675665454655304617362089056748963391583527718015901132176142514339644582838138953333977824319520990609955972410867163082612616206895810356635058656998637894458682587581346042228009885703261493904631600828570080057189794201846337597100914570078270595204913112026208302182822141434335283146629557623480231345659717074757097799313003486392181355918214699439804728436581206570791356436841564792663791703715817469961904371000774283019467653900381638881611920093263401604651073579152346625877512900417618328632490919366211946644320038353250891130292162034092283126864162664873556082388034743276397595633731311117957399422554487193600000000,80039257327536171748085647297085080079713783534992764761343278359159561311191612804710715934718911670280453145334640631635785461008330323450863208971868349584631645187560707665257764922688234380025238194000006170454770553528668662415332950168205120712236169376989754972649091649892570104865350490682065534895710187168755184841711483613596532832554900112348461716555322609502569749604564236339489182877269885777007657676803637749938878544753174622352255694702687029244336806268768860754888635379809196310934925342196730205818026231406686622513782483015617770484672771101274601593942052738501766411978901979412481267462029561623560836219747171918781397207540039680
43,344,103.46436944501409,2241,2241,253798307845921522310808943197478794087965948441895678195252138733771666036948628624390278880742607146416266341400117823765904868239006478106437607757587832274007721267753448354030063736042626290342480069484636347647217019861410201241757387390341812629182218502307479548330892421663850930169759459466720317941031711654254757898741356009118808968930019298806625199592405275907388634269300886056810943294328235074637441596636058265366439554831404538634508751086540269865242136824815080864487357849536508539631310773465667466961195766093150553076142239977583955853931138772913423922172901970673166272486711768443693758710964078237875828094227107289340577275053132141035520000000,232470517847262253799783629919891602959138485991496322075693902624288217980145563474058756107069139510178138145519478470547402568399120388237485023728745804843148604303620143297703217460720467201467285203742217066869226851577990279636655337983276657774036917913948607061863858076631538129087945699371457498224702579756836407652335325698174376990084964678266678498133159807280192219524272999238767148154807018872368527183229011382523896305412152184316201584454147136277409076855758839623852237866802913266992017453839270352169327351636294904406406049713848791002349914878583760950286349753662602619893703854681863938485483551413305123165758315590659983432489526834338176434176
44,352,105.87258079690507,2317,2317,27930820075194754280769020431369099318534234851860999861566321970638963803835256650630652358469689743775633845730764234074846339318460949360261748276846550452255276631541878926051107543917491155115126552767266318659653422563952150523403460012347352354253442915828673025544236416933934410524109061310469713392789149575011918020556135456460967170684600388249790481199594038104398432961319566422883670619425052996424486048271782907464808120677417268042892906819728072350482180877910425014904525181416934865142484306774427895325695695732795759901382589773208995258764997930197427995256405094188447378816373105454894072240999024088951383473271806928886127506212013379273272837695514302293149286400000000,25583670206032760193861999814071683191008064587108218629074674827380153031465302152055523871069033792451623621641787219529293831675794398017165918010280126084469757799704339055916395126280780158552985400210228216016243681077284938527867718493136042806519282808034601578011516179755626087779952740066478091105641464811459665084808737674942699409876261254415882411916026072842028487972491050640506519504120640907186851257464319047790653900421479973238828606614270390843536177371963719916700343121393998578779841652294537792766446457484149385028495227410446066020488033581743698417252437536415707709089518083862092851100827616598546938785114039307472023157480903500590929482539152711573671653954027520
45,360,108.28079341886239,2377,2376,18127745786944740459310709373578423413611066786608686947036081463797429174272626082183571956246926525955098268514757923647856822393089871083954715717764353854567483486397094807192685609087233240574655951116882540548303013890530705847343673287417001049959879680885689201876030118170400421217014956575628421306511289127917276251095892452089817489427635352299012188328032637562530107656702374599912242231453048942634893618448925682423512009101462012975903246814992186717167852943482569493943412037776024521926171705707588617437280634732807066734275224286682447644945588411637287632524526288013592651010531155370779936466467324692313845113440937624579385395747759178178440210886011802346613632927490673102087782400000000,16604391440832417893510952143328720290565246956848804724156675777661098433416426452583141407604273246226277143292927642098576591026383072051516893206181134242336615335241953484408310294601622708841002558342317397622085514941358590289022548520524065735851280028173010654204150128860296805715809465758136480017041052538653144038196805277169343172375766424376775892009975347439745753649882342139261928132392291182595324510080649821078523704927157459979584361853937201319060106409795636158784050973115867714222683690122762213201646293559914616430883593164527729825454013010485223469426522566588347349724284484910456815684620702302672290451018315424174383114459156477908835192460759349117818925660816225148964636532408320
46,368,110.68900722815769,2418,2418,62137060945217436853445287163323239551618005857365955080638346313197836340252473957737400328543968356037483180634770757122454567418028034984842346182144593533485322305215184923390565475652271987543299539325990472871092374921809876860390599580948451776104419572512349809102228753023067500117666361278185309234534461602775454473372120963610914476596321000746179900774415662795778071636332500408142448316455498092661949371037687220389314972469339007707439532027828462043602773418730416758944127655549833770062692205766207161286579306849689016767423624069587677970984395976016564427421192326060988355477155369232988463258935399451083042009464176750969850732333470032774859414056008500281425569830041846213876353049279055790080000000,56915409949112159745722808458222861139175270189564001885438597924988293457269103624970339936891027081826435287186972654932637504697091995583312898985829153742220117104982149192195088589826410065890272612983712057122587476070838756446074584733775385690491292028844514871423428272661779383790099407780895438482264460040299968484370268267678471387811478956072405091660494422940921443155777087988646864932539687550612454803709038506789759449169670600199700087098464012696828055428197722860006794862154206113494129669569042720828285423050132495604544662744748255753430547919051870667470889010494583521063751992292188926207201214971473940425459093627478464264750068443455933079998593519722402235499021079603373700465182278786213740544
47,376,113.0972221490951,2495,2495,10137435471052451567151843840793374722285255679452294911924138305722919589432934166974467694492714247515812429164920291731507276084952189352079180846643374740123355094065734719317487164009676470881196400284454333829152558164467128948811549575117379432654783185528555384480672966292287073006299289327147436305512751690247935559279970652017206882747840066349682036284609878677441009096025457345844610694397854034427614997827477547628347762780835062625903656579206448259845881442141597134283809026396170948164085664288852541421428765713701403728906496439927716968580589895250952027150334233575622570878371347615307009694790006942303615259212237437850840262541603946134821437773302007639040286942426299894654419259266634584155873948448901905538613248000000,9285542104675774934221985621013093920750675732460322013308289546711034012305751315961704565347909505845951700454092619644078623318166034806244748852183750199639377638744110243231038910693439713985515085884729291904436730415035364179213057400698412949049007181712986808623801888288244281161823703292159488334082790565346311672179779183877328094741933902978899248291922362436116514481549053050658390405222448196341815691699459151955210647503491724358934793331491376143010858620895988082362007021049415566011947785915923453653226746278192813037790798227297793451177059150530137056459459915540282354267422959793381541639125945406213047659300846603725092614009710854833808049119307247891578570888694086466967146138149951799015845936719452875953338918633472
