n,v2_Delta,exact_digit_bound,safe_Delta_bound,v2_h,T_exp,log2_abs_h_per_n,log2_S_per_n,log2_T_per_n,log2_M_per_n,log2_indexK_per_n,log2_indexL_per_n,log2_abs_c1_per_n,log2_abs_c2_per_n
75,1493,1493,1481,3023,2981,81.94814300996248,28.707675773978952,39.74666666666667,68.45434244064562,68.12100910731229,68.45434244064562,27.575273149946522,40.84132063206484
76,1513,1513,1501,3063,3021,82.07450301466625,28.833017371360814,39.75,68.58301737136081,68.28038579241344,68.58301737136081,27.63674975225539,40.931719366220925
77,1537,1537,1521,3107,3061,82.19867245230823,28.956188377744834,39.753246753246756,68.70943513099158,68.3367021476391,68.70943513099158,27.740279012907045,40.93861412931933
78,1564,1559,1541,3154,3101,82.07442664982189,28.83096351659233,39.756410256410255,68.5873737730026,68.26686095248978,68.5873737730026,27.642371114066847,40.92803654087837
79,1580,1579,1561,3190,3141,81.95398787875423,28.7095644803192,39.75949367088607,68.46905815120527,68.08044499021615,68.46905815120527,27.61105940351778,40.81436508645598
80,1597,1597,1581,3227,3181,81.83702124834772,28.591655822164974,39.7625,68.35415582216498,68.05656388563925,68.35415582216498,27.54782498127319,40.78737904535335
81,1615,1615,1601,3265,3221,81.72348058453936,28.4771908340501,39.76543209876543,68.24262293281554,67.95867231553157,68.24262293281554,27.462854337679644,40.7198042646298
82,1635,1635,1621,3305,3261,81.61280144258839,28.36560455812796,39.76829268292683,68.13389724105478,67.80828212254087,68.13389724105478,27.46353248892013,40.677642858153334
83,1653,1653,1641,3343,3301,82.20574384482588,28.957656523520786,39.7710843373494,68.72874086087019,68.39371248831527,68.72874086087019,27.72668374888554,40.98416780003992
84,1677,1677,1661,3387,3341,82.09313469544693,28.84417316015601,39.773809523809526,68.61798268396554,68.34417316015602,68.61798268396554,27.655310174741587,40.925664052078204
85,1697,1697,1681,3427,3381,81.86895536433278,28.619135381686586,39.77647058823529,68.39560596992189,68.10148832286306,68.39560596992189,27.560931473849987,40.821918213589676
86,1715,1715,1701,3465,3421,82.21669383190505,28.96603072949417,39.77906976744186,68.74510049693603,68.45440282251742,68.74510049693603,27.714838117396287,41.016237723869
87,1737,1737,1721,3507,3461,82.10879104407768,28.85729972683743,39.7816091954023,68.63890892223972,68.29629564727355,68.63890892223972,27.70647976848144,40.928988415546115
88,1755,1755,1741,3545,3501,82.0038725602978,28.751567526133478,39.78409090909091,68.53565843522439,68.27429479886075,68.53565843522439,27.615325249066235,40.9059065497688
89,1773,1773,1761,3583,3541,82.34144238195125,29.088337736645908,39.78651685393258,68.8748545905785,68.593955714174,68.8748545905785,27.786084414553336,41.067619801113516
90,1805,1799,1781,3635,3581,82.01902451257313,28.765133984016508,39.78888888888889,68.5540228729054,68.13930038056994,68.5540228729054,27.623872512684905,40.822283180760756
91,1817,1817,1801,3667,3621,81.91962981792281,28.66496676969827,39.79120879120879,68.45617556090707,68.15947226420377,68.45617556090707,27.58791997628804,40.85726383297467
92,1837,1837,1821,3707,3661,82.03653595381813,28.781113398181798,39.79347826086956,68.57459165905136,68.30285252861658,68.57459165905136,27.70349437121292,40.935678676642596
93,1860,1859,1841,3750,3701,81.93984145644134,28.683672066725702,39.795698924731184,68.47937099145689,68.18904841081172,68.47937099145689,27.592077744181122,40.86854408153725
94,1877,1877,1861,3787,3741,81.84547103370656,28.58856715617882,39.797872340425535,68.38643949660435,68.06933997615693,68.38643949660435,27.52648762236448,40.79955167902306
95,1897,1897,1881,3827,3781,81.96137218466164,28.70374584986529,39.8,68.5037458498653,68.19848269197055,68.5037458498653,27.589686681484594,40.864493895858836
96,1915,1915,1901,3865,3821,81.86925915540442,28.610922089010653,39.802083333333336,68.41300542234399,68.16501214190588,68.41300542234399,27.551723239815985,40.846217105624824
97,1933,1933,1921,3903,3861,81.88163077221553,28.622594405409792,39.8041237113402,68.42671811675,68.18960471468814,68.42671811675,27.571248564330496,40.82765308881272
98,1953,1953,1941,3943,3901,81.99546678383311,28.73574226326046,39.80612244897959,68.54186471224006,68.30717083468903,68.54186471224006,27.62685598011476,40.89071854507986
99,1971,1971,1961,3981,3941,81.90671328768036,28.64631148497178,39.80808080808081,68.45439229305259,68.20186704052733,68.45439229305259,27.611480097225922,40.854085721143676
100,1993,1993,1981,4023,3981,82.01920066805293,28.758132188953756,39.81,68.56813218895375,68.31005863973319,68.56813218895375,27.630660862634613,40.92628577845108
